%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 2, g: 1, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -2.4979878861047347, 
maxIter: 0, func_eval: 5000
Parameters Found: [-0.41258736  0.39901087  0.09801069  0.18393215 -0.30192173  0.32338741
  0.28263173 -0.11669831 -0.17264474  0.29269014 -0.35505991 -0.3630442
  0.10062782 -0.14814053  1.67007139 -0.23425719]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:13.94s

Optimal: selection 011000, value -2.50195105+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	011000    	-2.50195105		0.06660323
1	001001    	-2.50172437		0.06659035
2	110000    	-2.50181774		0.06658993
3	101000    	-2.50168374		0.06658912
4	010100    	-2.50146515		0.06658204
5	010001    	-2.50155872		0.06657954
6	001010    	-2.50136974		0.06657729
7	010010    	-2.50143300		0.06657537
8	001100    	-2.50102920		0.06656952
9	100100    	-2.50097523		0.06655930
10	000101    	-2.50096151		0.06655842
11	100001    	-2.50093724		0.06655170
12	100010    	-2.50080356		0.06654721
13	000110    	-2.50060571		0.06654533
14	000011    	-2.50062525		0.06653996
15	000100    	-1.50136933		0.00008880
16	001000    	-1.50205153		0.00008847
17	000010    	-1.50159761		0.00008764
18	010000    	-1.50242177		0.00008733
19	000001    	-1.50192190		0.00008718
20	100000    	-1.50202526		0.00008712
21	000000    	1.49782557		0.00008656
22	111111    	13.50486412		0.00007470
23	001101    	-1.50054675		0.00003170
24	011100    	-1.50077720		0.00003166
25	111000    	-1.50112840		0.00003164
26	011010    	-1.50085731		0.00003161
27	011001    	-1.50101338		0.00003158
28	101100    	-1.50041648		0.00003151
29	110100    	-1.50061619		0.00003149
30	001110    	-1.50016061		0.00003149
31	010110    	-1.50028957		0.00003140
32	010101    	-1.50044681		0.00003138
33	001011    	-1.50032276		0.00003133
34	101010    	-1.50035706		0.00003131
35	101001    	-1.50052110		0.00003129
36	110010    	-1.50018408		0.00003091
37	100110    	-1.49956671		0.00003088
38	100101    	-1.49973191		0.00003086
39	000111    	-1.49947805		0.00003084
40	110001    	-1.50011920		0.00003066
41	010011    	-1.49985012		0.00003063
42	100011    	-1.49899570		0.00002998
43	001111    	1.50104168		0.00000782
44	011110    	1.50050335		0.00000782
45	011101    	1.50031576		0.00000782
46	101110    	1.50109702		0.00000782
47	111100    	1.50029039		0.00000782
48	101101    	1.50090147		0.00000782
49	110110    	1.50120429		0.00000781
50	111010    	1.50061023		0.00000781
51	010111    	1.50144860		0.00000781
52	011011    	1.50080019		0.00000781
53	110101    	1.50123765		0.00000781
54	111001    	1.50064476		0.00000781
55	101011    	1.50152542		0.00000781
56	100111    	1.50239644		0.00000780
57	110011    	1.50223429		0.00000779
58	111110    	6.50221583		0.00000211
59	111101    	6.50221885		0.00000210
60	011111    	6.50231615		0.00000210
61	101111    	6.50313479		0.00000209
62	111011    	6.50310322		0.00000208
63	110111    	6.50377796		0.00000207
