%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 2, g: 2, theta3: 1.000000, layers: 10
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -54.48752890764413, 
maxIter: 0, func_eval: 8000
Parameters Found: [ 1.34675173 -0.38584751 -0.3606971  -0.31386011  0.15683369  0.11926163
  0.03236019 -0.04638764  0.26224136 -0.10438258  0.02360887  0.16400308
 -0.08329545 -0.14785645 -0.21799723  1.04616594  1.28956082  0.01601156
  0.03420603  0.9847553 ]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:1107.46s

Optimal: selection 001010000000, value -56.52512680+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000000000000	-52.52535017		0.08257107
1	000010000000	-55.52522727		0.04654174
2	000000100000	-55.52454508		0.04652980
3	001000000000	-55.52559752		0.04652334
4	000000001000	-55.52477336		0.04651890
5	000000000010	-55.52509764		0.04651352
6	100000000000	-55.52520101		0.04651273
7	000000010100	-52.51716611		0.02794188
8	010000010000	-52.51783186		0.02793119
9	000001010000	-52.51895234		0.02792989
10	000000010001	-52.51801940		0.02792950
11	000000000101	-52.51691434		0.02792498
12	010000000100	-52.51738513		0.02792047
13	010000000001	-52.51734997		0.02791647
14	000100010000	-52.51970201		0.02791335
15	000001000100	-52.52055446		0.02790001
16	000100000100	-52.51981338		0.02789741
17	000100000001	-52.51974637		0.02789371
18	010001000000	-52.52099813		0.02789146
19	000001000001	-52.52140310		0.02788776
20	010100000000	-52.52054002		0.02788621
21	000101000000	-52.52197785		0.02788203
22	010000000000	-56.52310658		0.00803656
23	000000000001	-56.52293555		0.00803618
24	000000000100	-56.52220830		0.00802936
25	000100000000	-56.52460306		0.00802789
26	000000010000	-56.52105522		0.00800922
27	000001000000	-56.52411622		0.00800703
28	010000000101	-40.50874919		0.00273177
29	010100000001	-40.51234135		0.00271314
30	000100000101	-40.51207735		0.00271166
31	010000010001	-40.51145406		0.00270662
32	000000010101	-40.51125095		0.00270468
33	010000010100	-40.51136317		0.00270449
34	010100000100	-40.51317075		0.00270398
35	010001000001	-40.51494304		0.00269106
36	000100010001	-40.51422412		0.00269084
37	010001000100	-40.51485679		0.00268890
38	000100010100	-40.51416509		0.00268845
39	010100010000	-40.51465920		0.00268818
40	000001000101	-40.51496201		0.00268743
41	010001010000	-40.51485449		0.00268446
42	000001010100	-40.51464334		0.00268259
43	000101000001	-40.51682267		0.00268211
44	010101000000	-40.51704031		0.00268112
45	000101000100	-40.51676827		0.00267970
46	000101010000	-40.51620786		0.00267948
47	000001010001	-40.51561802		0.00267800
48	010101010101	43.51024352		0.00184230
49	000101010001	-20.51043149		0.00169620
50	000101010100	-20.51025105		0.00169594
51	010101010000	-20.51029056		0.00169584
52	010101000100	-20.50925115		0.00169532
53	000001010101	-20.50842969		0.00169520
54	000101000101	-20.50873376		0.00169466
55	010001010001	-20.50817820		0.00169465
56	010001010100	-20.50796591		0.00169435
57	010101000001	-20.50854315		0.00169420
58	010100010100	-20.50654270		0.00169351
59	000100010101	-20.50580786		0.00169252
60	010100010001	-20.50583933		0.00169240
61	010001000101	-20.50592237		0.00169225
62	010000010101	-20.50210604		0.00168873
63	010100000101	-20.50209275		0.00168767
64	000000011000	-55.52010479		0.00077183
65	000000010010	-55.52049209		0.00077171
66	100000010000	-55.52041618		0.00077161
67	000000100100	-55.52102959		0.00077116
68	000000000110	-55.52051611		0.00077113
69	100000000100	-55.52076935		0.00077106
70	000000001001	-55.52091907		0.00077098
71	000000110000	-55.51488059		0.00077097
72	000000001100	-55.51765500		0.00077094
73	010000001000	-55.52123998		0.00077093
74	000000100001	-55.52181986		0.00077088
75	010000100000	-55.52181161		0.00077079
76	010000000010	-55.52118306		0.00077075
77	100000000001	-55.52111540		0.00077074
78	000000000011	-55.51886388		0.00077056
79	001000010000	-55.52099951		0.00077051
80	000001001000	-55.52332946		0.00077040
81	110000000000	-55.51906687		0.00077040
82	000001000010	-55.52371445		0.00077028
83	000100001000	-55.52320234		0.00077025
84	100001000000	-55.52352981		0.00077016
85	000001100000	-55.52287666		0.00077015
86	000100100000	-55.52349492		0.00077008
87	000100000010	-55.52312950		0.00077007
88	100100000000	-55.52354418		0.00077002
89	001000000100	-55.52163174		0.00077000
90	000010010000	-55.52049786		0.00076996
91	001000000001	-55.52196185		0.00076967
92	011000000000	-55.52244419		0.00076964
93	000010000100	-55.52187546		0.00076954
94	000010000001	-55.52266340		0.00076927
95	010010000000	-55.52254643		0.00076917
96	001001000000	-55.52366793		0.00076902
97	001100000000	-55.52236682		0.00076872
98	000110000000	-55.52378453		0.00076840
99	000011000000	-55.52201701		0.00076833
100	010101010100	7.49824583		0.00040533
101	000101010101	7.49840466		0.00040532
102	010101010001	7.49882779		0.00040463
103	010001010101	7.50158971		0.00040431
104	010101000101	7.50212534		0.00040215
105	010100010101	7.50515650		0.00040207
106	001010100000	-55.52395295		0.00035782
107	101010000000	-55.52430415		0.00035781
108	000010100010	-55.52372250		0.00035780
109	001010001000	-55.52403306		0.00035778
110	001010000010	-55.52418913		0.00035778
111	100010100000	-55.52359222		0.00035773
112	101000100000	-55.52379193		0.00035772
113	000010101000	-55.52333635		0.00035771
114	001000101000	-55.52346532		0.00035767
115	001000100010	-55.52362255		0.00035767
116	000010001010	-55.52349850		0.00035764
117	100010000010	-55.52369684		0.00035763
118	100010001000	-55.52353281		0.00035763
119	101000001000	-55.52335983		0.00035747
120	100000100010	-55.52290766		0.00035743
121	100000101000	-55.52274246		0.00035743
122	000000101010	-55.52265380		0.00035741
123	101000000010	-55.52329495		0.00035738
124	001000001010	-55.52302587		0.00035736
125	100000001010	-55.52217145		0.00035707
126	000001110000	-47.51234324		0.00019065
127	010000110000	-47.51116735		0.00019029
128	000100110000	-47.51322433		0.00019022
129	000000110100	-47.51061786		0.00019017
130	000000110001	-47.51153417		0.00019004
131	000000001101	-47.51092137		0.00018961
132	010000001100	-47.51154204		0.00018942
133	010000000011	-47.51160732		0.00018933
134	110000000001	-47.51163928		0.00018928
135	000000000111	-47.51140300		0.00018906
136	000100001100	-47.51443617		0.00018898
137	000100000011	-47.51445367		0.00018891
138	110000000100	-47.51205563		0.00018881
139	110100000000	-47.51559058		0.00018845
140	000000011100	-47.51223919		0.00018845
141	000001001100	-47.51579121		0.00018840
142	110001000000	-47.51652118		0.00018805
143	110000010000	-47.51330228		0.00018796
144	000000010011	-47.51363713		0.00018776
145	000001000011	-47.51718219		0.00018771
146	001100000001	-47.51628909		0.00018676
147	010000001001	-47.51404370		0.00018674
148	010000000110	-47.51402194		0.00018671
149	010100000010	-47.51739547		0.00018652
150	001101000000	-47.51904597		0.00018650
151	100000000101	-47.51380440		0.00018645
152	011100000000	-47.51739404		0.00018635
153	000111000000	-47.51918301		0.00018631
154	000100001001	-47.51690598		0.00018631
155	000100000110	-47.51690015		0.00018629
156	001100000100	-47.51675323		0.00018628
157	100100000001	-47.51701649		0.00018614
158	010100001000	-47.51784951		0.00018607
