%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 2, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -55.51303227497661, 
maxIter: 0, func_eval: 741
Parameters Found: [ 1.30051263 -0.98133064 -0.23619831 -0.40776323 -0.55158188 -0.26164781
 -0.05617559 -0.04408536  0.04296697  0.01831246 -0.00857038  1.12243252]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:5885.41s

Optimal: selection 001010000000, value -56.52512680+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000000000000	-52.52535017		0.04884758
1	000000000001	-56.52293555		0.04511682
2	010000000000	-56.52310658		0.04511635
3	000000000100	-56.52220830		0.04511440
4	000000010000	-56.52105522		0.04510270
5	000100000000	-56.52460306		0.04510176
6	000001000000	-56.52411622		0.04508623
7	010000000100	-52.51738513		0.03101054
8	000000000101	-52.51691434		0.03100979
9	010000000001	-52.51734997		0.03100943
10	000000010001	-52.51801940		0.03100934
11	010000010000	-52.51783186		0.03100757
12	000000010100	-52.51716611		0.03100705
13	010100000000	-52.52054002		0.03100233
14	000100000100	-52.51981338		0.03100158
15	000100000001	-52.51974637		0.03100035
16	000100010000	-52.51970201		0.03099648
17	000001000001	-52.52140310		0.03099583
18	000001000100	-52.52055446		0.03099356
19	010001000000	-52.52099813		0.03099322
20	000001010000	-52.51895234		0.03098275
21	000101000000	-52.52197785		0.03097873
22	100000000000	-55.52520101		0.00709379
23	000000000010	-55.52509764		0.00709374
24	000000001000	-55.52477336		0.00709351
25	000000100000	-55.52454508		0.00709316
26	001000000000	-55.52559752		0.00709287
27	000010000000	-55.52522727		0.00709178
28	000000010101	-40.51125095		0.00397048
29	010000010100	-40.51136317		0.00397036
30	010000010001	-40.51145406		0.00397013
31	000100010100	-40.51416509		0.00396941
32	010100010000	-40.51465920		0.00396933
33	000100010001	-40.51422412		0.00396914
34	000001010001	-40.51561802		0.00396860
35	000001000101	-40.51496201		0.00396859
36	010100000100	-40.51317075		0.00396854
37	010001000100	-40.51485679		0.00396827
38	010000000101	-40.50874919		0.00396819
39	010001000001	-40.51494304		0.00396802
40	000001010100	-40.51464334		0.00396800
41	000100000101	-40.51207735		0.00396773
42	010001010000	-40.51485449		0.00396765
43	010100000001	-40.51234135		0.00396744
44	000101000100	-40.51676827		0.00396648
45	000101000001	-40.51682267		0.00396620
46	010101000000	-40.51704031		0.00396618
47	000101010000	-40.51620786		0.00396534
48	000000010010	-55.52049209		0.00107105
49	100000010000	-55.52041618		0.00107099
50	000000011000	-55.52010479		0.00107092
51	100000000100	-55.52076935		0.00107081
52	000000000110	-55.52051611		0.00107076
53	010000001000	-55.52123998		0.00107068
54	000000100001	-55.52181986		0.00107068
55	100000000001	-55.52111540		0.00107067
56	010000000010	-55.52118306		0.00107066
57	000000100100	-55.52102959		0.00107066
58	000001000010	-55.52371445		0.00107066
59	000000001001	-55.52091907		0.00107065
60	100100000000	-55.52354418		0.00107060
61	010000100000	-55.52181161		0.00107060
62	100001000000	-55.52352981		0.00107055
63	000100001000	-55.52320234		0.00107053
64	000001001000	-55.52332946		0.00107052
65	000100000010	-55.52312950		0.00107050
66	000100100000	-55.52349492		0.00107035
67	001000010000	-55.52099951		0.00107023
68	001000000100	-55.52163174		0.00107015
69	011000000000	-55.52244419		0.00107010
70	000001100000	-55.52287666		0.00107009
71	001000000001	-55.52196185		0.00107001
72	000000000011	-55.51886388		0.00106994
73	110000000000	-55.51906687		0.00106989
74	000000001100	-55.51765500		0.00106978
75	001001000000	-55.52366793		0.00106964
76	000010000001	-55.52266340		0.00106959
77	000010000100	-55.52187546		0.00106957
78	010010000000	-55.52254643		0.00106947
79	000010010000	-55.52049786		0.00106939
80	001100000000	-55.52236682		0.00106924
81	000110000000	-55.52378453		0.00106906
82	000000110000	-55.51488059		0.00106884
83	000011000000	-55.52201701		0.00106841
84	010100010101	7.50515650		0.00052240
85	010001010101	7.50158971		0.00052220
86	010101000101	7.50212534		0.00052216
87	010101010001	7.49882779		0.00052203
88	000101010101	7.49840466		0.00052201
89	010101010100	7.49824583		0.00052200
90	010100000101	-20.50209275		0.00042004
91	010000010101	-20.50210604		0.00041999
92	010100010001	-20.50583933		0.00041989
93	010001000101	-20.50592237		0.00041986
94	000100010101	-20.50580786		0.00041986
95	010100010100	-20.50654270		0.00041985
96	010101000001	-20.50854315		0.00041978
97	000101000101	-20.50873376		0.00041975
98	010101000100	-20.50925115		0.00041974
99	010001010001	-20.50817820		0.00041974
100	010001010100	-20.50796591		0.00041972
101	000001010101	-20.50842969		0.00041971
102	010101010000	-20.51029056		0.00041964
103	000101010001	-20.51043149		0.00041964
104	000101010100	-20.51025105		0.00041961
105	001010000000	-56.52512680		0.00021240
106	000010100000	-56.52420495		0.00021237
107	100010000000	-56.52485949		0.00021235
108	000010001000	-56.52454549		0.00021234
109	000010000010	-56.52490012		0.00021234
110	001000100000	-56.52464090		0.00021233
111	001000000010	-56.52473447		0.00021232
112	101000000000	-56.52499349		0.00021231
113	001000001000	-56.52460875		0.00021231
114	100000100000	-56.52415098		0.00021228
115	000000101000	-56.52378146		0.00021228
116	000000100010	-56.52413725		0.00021228
117	100000000010	-56.52411299		0.00021227
118	100000001000	-56.52397930		0.00021227
119	000000001010	-56.52380100		0.00021227
120	010010000100	-47.51661504		0.00020181
121	010010010000	-47.51683725		0.00020181
122	000010010001	-47.51731279		0.00020181
123	010010000001	-47.51664058		0.00020180
124	000010010100	-47.51639880		0.00020180
125	000010000101	-47.51643225		0.00020180
126	010011000000	-47.51846168		0.00020179
127	000011000001	-47.51915466		0.00020179
128	000011000100	-47.51824531		0.00020178
129	010110000000	-47.51928424		0.00020177
130	000110000100	-47.51878490		0.00020176
131	010000110000	-47.51116735		0.00020176
132	000000110001	-47.51153417		0.00020176
133	000000110100	-47.51061786		0.00020176
134	000110000001	-47.51877859		0.00020175
135	000110010000	-47.51844902		0.00020175
136	000011010000	-47.51641867		0.00020175
137	000111000000	-47.51918301		0.00020171
138	001100000001	-47.51628909		0.00020169
139	011100000000	-47.51739404		0.00020168
140	001100000100	-47.51675323		0.00020168
141	001000000101	-47.51511674		0.00020167
142	011000000001	-47.51546656		0.00020167
143	000100110000	-47.51322433		0.00020167
144	011000000100	-47.51589884		0.00020166
145	001000010001	-47.51674266		0.00020164
146	000000001101	-47.51092137		0.00020164
147	010000001100	-47.51154204		0.00020163
148	001100010000	-47.51716272		0.00020162
149	110000000001	-47.51163928		0.00020162
150	010000000011	-47.51160732		0.00020161
151	011000010000	-47.51686643		0.00020161
152	001000010100	-47.51628650		0.00020161
153	110000000100	-47.51205563		0.00020161
154	000000000111	-47.51140300		0.00020160
155	000001110000	-47.51234324		0.00020160
156	000000011100	-47.51223919		0.00020156
157	001001000001	-47.51973378		0.00020156
158	110000010000	-47.51330228		0.00020155
159	000000010011	-47.51363713		0.00020154
160	000100001100	-47.51443617		0.00020153
161	001001000100	-47.51928226		0.00020152
162	011001000000	-47.51964012		0.00020152
163	001101000000	-47.51904597		0.00020152
164	000100000011	-47.51445367		0.00020152
165	110100000000	-47.51559058		0.00020152
166	010000100100	-47.51571653		0.00020149
167	010000000110	-47.51402194		0.00020148
168	010000100001	-47.51574440		0.00020148
169	000000100101	-47.51542503		0.00020148
170	100000000101	-47.51380440		0.00020148
171	010000001001	-47.51404370		0.00020148
172	000001001100	-47.51579121		0.00020145
173	001001010000	-47.51820100		0.00020144
174	110001000000	-47.51652118		0.00020143
175	100000010001	-47.51570937		0.00020143
176	000000011001	-47.51562930		0.00020143
177	000001000011	-47.51718219		0.00020142
178	010100100000	-47.51894199		0.00020142
179	000100100100	-47.51833162		0.00020141
180	010000011000	-47.51559164		0.00020141
181	010000010010	-47.51559775		0.00020140
182	010100000010	-47.51739547		0.00020140
183	100000010100	-47.51523728		0.00020140
184	000100100001	-47.51832763		0.00020140
185	000000010110	-47.51516332		0.00020139
186	000100000110	-47.51690015		0.00020139
187	100100000001	-47.51701649		0.00020138
188	000100001001	-47.51690598		0.00020138
189	010100001000	-47.51784951		0.00020138
190	000001100001	-47.51985295		0.00020137
191	010001100000	-47.51926869		0.00020137
192	000001100100	-47.51894128		0.00020137
193	100100000100	-47.51746470		0.00020137
194	100001000001	-47.51914571		0.00020132
195	000001001001	-47.51917668		0.00020131
196	000100011000	-47.51792767		0.00020130
197	000100010010	-47.51791785		0.00020130
198	100100010000	-47.51815324		0.00020130
199	100001000100	-47.51867826		0.00020129
200	010001001000	-47.51892158		0.00020129
201	010001000010	-47.51892537		0.00020128
202	000001000110	-47.51871302		0.00020128
203	000101100000	-47.52043524		0.00020126
204	100001010000	-47.51787605		0.00020119
205	000001011000	-47.51779196		0.00020119
206	100101000000	-47.52048171		0.00020117
207	000101001000	-47.52036718		0.00020117
208	000101000010	-47.52035504		0.00020117
209	000001010010	-47.51823997		0.00020116
210	010101010101	43.51024352		0.00015823
211	010000110100	-31.50432504		0.00015600
212	000000110101	-31.50439210		0.00015599
213	010000110001	-31.50447895		0.00015599
214	010000001101	-31.50146643		0.00015596
215	010000000111	-31.50156687		0.00015596
216	110000000101	-31.50174871		0.00015596
217	000000011101	-31.50488436		0.00015595
218	110000010001	-31.50525349		0.00015594
219	010100110000	-31.50769164		0.00015594
220	010000011100	-31.50514646		0.00015594
221	000100110100	-31.50731379		0.00015594
222	010000010011	-31.50540081		0.00015593
223	000100110001	-31.50743584		0.00015593
224	110000010100	-31.50554380		0.00015593
225	000000010111	-31.50542901		0.00015593
226	010100001100	-31.50650375		0.00015591
227	010100000011	-31.50537766		0.00015591
228	001100000101	-31.50779617		0.00015590
229	000100000111	-31.50534498		0.00015590
230	000100001101	-31.50526048		0.00015590
231	011100000100	-31.50920087		0.00015590
232	011100000001	-31.50797434		0.00015590
233	010010010100	-31.51015862		0.00015590
234	000001110001	-31.50869833		0.00015590
235	110100000100	-31.50693153		0.00015590
236	110100000001	-31.50572093		0.00015590
237	010010010001	-31.51031021		0.00015590
238	000010010101	-31.51033440		0.00015589
239	000001110100	-31.50766062		0.00015589
240	010001110000	-31.50775551		0.00015589
241	001100010001	-31.51046380		0.00015589
242	011000000101	-31.50604187		0.00015589
243	001000010101	-31.50915030		0.00015588
244	011000010001	-31.50926760		0.00015588
245	011100010000	-31.51121018		0.00015588
246	010011000100	-31.51211040		0.00015588
247	001100010100	-31.51080189		0.00015588
248	010010000101	-31.50782986		0.00015587
249	010011000001	-31.51225735		0.00015587
250	000011000101	-31.51250362		0.00015587
251	000100011100	-31.50841426		0.00015587
252	011000010100	-31.50957383		0.00015587
253	010110010000	-31.51296896		0.00015587
254	110100010000	-31.50921989		0.00015587
255	000100010011	-31.50862082		0.00015587
256	000011010001	-31.51293511		0.00015587
257	000001001101	-31.50875910		0.00015586
258	010110000100	-31.51170503		0.00015586
259	110001000001	-31.50879510		0.00015586
260	010011010000	-31.51188357		0.00015586
261	000110010100	-31.51270214		0.00015586
262	000011010100	-31.51189972		0.00015586
263	000110010001	-31.51282188		0.00015585
264	100000010101	-31.50765113		0.00015585
265	010001001100	-31.50880376		0.00015585
266	110001000100	-31.50909005		0.00015585
267	010000010110	-31.50768939		0.00015585
268	010001000011	-31.50905114		0.00015585
269	000001000111	-31.50930143		0.00015585
270	010110000001	-31.51093632		0.00015584
271	010000011001	-31.50777417		0.00015584
272	000110000101	-31.51089963		0.00015584
273	010100000110	-31.50858654		0.00015583
274	010111000000	-31.51380822		0.00015583
275	000111000100	-31.51376349		0.00015582
