%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 2, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -52.29500945064502, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.45221817e+00 -7.91921929e-01  1.03160621e-01  3.63485569e-02
 -1.15400858e-03 -3.25695674e-02 -7.85441008e-02  3.57372734e-02
  7.62786437e-02  1.24493282e+00 -1.45947452e-01  1.21931588e+00
  8.73229108e-02  2.39505981e-01  1.39792081e+00  1.83595216e-01]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:680.68s

Optimal: selection 001010000000, value -56.52512680+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000000000000	-52.52535017		0.08916554
1	000010000000	-55.52522727		0.06434244
2	001000000000	-55.52559752		0.06433854
3	100000000000	-55.52520101		0.06431310
4	000000000010	-55.52509764		0.06430995
5	000000100000	-55.52454508		0.06430471
6	000000001000	-55.52477336		0.06430286
7	000000000101	-52.51691434		0.01254633
8	010000000001	-52.51734997		0.01254472
9	010000000100	-52.51738513		0.01254429
10	000000010100	-52.51716611		0.01254404
11	010000010000	-52.51783186		0.01254146
12	000000010001	-52.51801940		0.01254070
13	000100000001	-52.51974637		0.01253039
14	000100000100	-52.51981338		0.01252982
15	000100010000	-52.51970201		0.01252937
16	000001010000	-52.51895234		0.01252915
17	010100000000	-52.52054002		0.01252697
18	000001000100	-52.52055446		0.01252330
19	010001000000	-52.52099813		0.01252166
20	000001000001	-52.52140310		0.01251997
21	000101000000	-52.52197785		0.01251336
22	010101010101	43.51024352		0.00891851
23	010100010100	-20.50654270		0.00674061
24	010100010001	-20.50583933		0.00674045
25	010000010101	-20.50210604		0.00673975
26	010100000101	-20.50209275		0.00673968
27	000100010101	-20.50580786		0.00673951
28	010001000101	-20.50592237		0.00673922
29	010101000100	-20.50925115		0.00673808
30	010101000001	-20.50854315		0.00673790
31	000101000101	-20.50873376		0.00673738
32	010001010001	-20.50817820		0.00673724
33	000001010101	-20.50842969		0.00673683
34	010001010100	-20.50796591		0.00673566
35	000101010001	-20.51043149		0.00673435
36	010101010000	-20.51029056		0.00673378
37	000101010100	-20.51025105		0.00673282
38	001010000000	-56.52512680		0.00575299
39	000010100000	-56.52420495		0.00575213
40	100010000000	-56.52485949		0.00575203
41	001000000010	-56.52473447		0.00575189
42	101000000000	-56.52499349		0.00575184
43	000010000010	-56.52490012		0.00575183
44	000010001000	-56.52454549		0.00575175
45	001000100000	-56.52464090		0.00575167
46	001000001000	-56.52460875		0.00575161
47	100000000010	-56.52411299		0.00575123
48	100000001000	-56.52397930		0.00575096
49	000000001010	-56.52380100		0.00575095
50	100000100000	-56.52415098		0.00575090
51	000000100010	-56.52413725		0.00575075
52	000000101000	-56.52378146		0.00575067
53	010101010100	7.49824583		0.00171405
54	000101010101	7.49840466		0.00171367
55	010101010001	7.49882779		0.00171103
56	010001010101	7.50158971		0.00170384
57	010101000101	7.50212534		0.00169747
58	010100010101	7.50515650		0.00169023
59	101010000000	-55.52430415		0.00104797
60	001010000010	-55.52418913		0.00104766
61	001010001000	-55.52403306		0.00104731
62	001010100000	-55.52395295		0.00104693
63	101000100000	-55.52379193		0.00104666
64	000010100010	-55.52372250		0.00104658
65	100010000010	-55.52369684		0.00104637
66	001000100010	-55.52362255		0.00104618
67	100010100000	-55.52359222		0.00104607
68	100010001000	-55.52353281		0.00104599
69	000010001010	-55.52349850		0.00104595
70	001000101000	-55.52346532		0.00104582
71	000010101000	-55.52333635		0.00104547
72	101000001000	-55.52335983		0.00104534
73	101000000010	-55.52329495		0.00104497
74	001000001010	-55.52302587		0.00104432
75	100000100010	-55.52290766		0.00104415
76	100000101000	-55.52274246		0.00104376
77	000000101010	-55.52265380		0.00104355
78	100000001010	-55.52217145		0.00104183
79	000110000000	-55.52378453		0.00096761
80	010010000000	-55.52254643		0.00096732
81	000010000001	-55.52266340		0.00096726
82	000100100000	-55.52349492		0.00096692
83	001100000000	-55.52236682		0.00096690
84	011000000000	-55.52244419		0.00096687
85	001000000001	-55.52196185		0.00096669
86	100100000000	-55.52354418		0.00096667
87	000100001000	-55.52320234		0.00096663
88	000100000010	-55.52312950		0.00096657
89	000010000100	-55.52187546		0.00096657
90	010000100000	-55.52181161		0.00096653
91	000000100001	-55.52181986		0.00096645
92	010000001000	-55.52123998		0.00096619
93	000011000000	-55.52201701		0.00096615
94	010000000010	-55.52118306		0.00096613
95	001000000100	-55.52163174		0.00096609
96	001001000000	-55.52366793		0.00096606
97	100000000001	-55.52111540		0.00096605
98	000000001001	-55.52091907		0.00096605
99	000000100100	-55.52102959		0.00096576
100	110000000000	-55.51906687		0.00096573
101	000001100000	-55.52287666		0.00096569
102	000000000011	-55.51886388		0.00096560
103	000001000010	-55.52371445		0.00096559
104	100001000000	-55.52352981		0.00096556
105	000001001000	-55.52332946		0.00096556
106	100000000100	-55.52076935		0.00096544
107	000000000110	-55.52051611		0.00096538
108	000010010000	-55.52049786		0.00096508
109	000000001100	-55.51765500		0.00096487
110	001000010000	-55.52099951		0.00096476
111	000000010010	-55.52049209		0.00096417
112	100000010000	-55.52041618		0.00096417
113	000000011000	-55.52010479		0.00096414
114	000000110000	-55.51488059		0.00096335
115	010000000000	-56.52310658		0.00067584
116	000000000001	-56.52293555		0.00067570
117	000100000000	-56.52460306		0.00067519
118	000000000100	-56.52220830		0.00067409
119	000001000000	-56.52411622		0.00067125
120	000000010000	-56.52105522		0.00066967
121	101010101010	-40.51831162		0.00043693
122	001010101000	-52.52267240		0.00030190
123	001010100010	-52.52285998		0.00030189
124	101010100000	-52.52288536		0.00030188
125	000010101010	-52.52213407		0.00030184
126	100010101000	-52.52207873		0.00030181
127	100010100010	-52.52227428		0.00030180
128	101010001000	-52.52256552		0.00030170
129	101000101000	-52.52197146		0.00030169
130	001010001010	-52.52237556		0.00030167
131	001000101010	-52.52172714		0.00030164
132	101010000010	-52.52253099		0.00030163
133	101000100010	-52.52193810		0.00030162
134	100010001010	-52.52165033		0.00030154
135	100000101010	-52.52077931		0.00030145
136	101000001010	-52.52094146		0.00030125
137	010101010111	64.51910672		0.00018624
138	110101010101	64.51908086		0.00018624
139	010101011101	64.51893375		0.00018617
140	010101110101	64.51832977		0.00018594
141	011101010101	64.51643311		0.00018543
142	010111010101	64.51426926		0.00018475
143	001011101000	-40.51812210		0.00016451
144	001010111000	-40.51189678		0.00016450
145	101011100000	-40.51810776		0.00016449
146	001011100010	-40.51837038		0.00016448
147	101010110000	-40.51199348		0.00016448
148	001010110010	-40.51214738		0.00016447
149	101011001000	-40.51801244		0.00016442
150	001011001010	-40.51811048		0.00016441
151	101011000010	-40.51803861		0.00016439
152	100010111000	-40.51111628		0.00016438
153	000010111010	-40.51135090		0.00016438
154	100011101000	-40.51778682		0.00016437
155	000011101010	-40.51813016		0.00016436
156	100010110010	-40.51137484		0.00016436
157	001110101000	-40.51761912		0.00016434
158	100011100010	-40.51804307		0.00016434
159	001110100010	-40.51740957		0.00016434
160	101110100000	-40.51774626		0.00016432
161	001110001010	-40.51640429		0.00016429
162	001010101100	-40.51414657		0.00016428
163	101110001000	-40.51690556		0.00016428
164	101110000010	-40.51647390		0.00016427
165	100011001010	-40.51764364		0.00016426
166	001010001110	-40.51278368		0.00016424
167	101000111000	-40.51114042		0.00016424
168	101010001100	-40.51312352		0.00016424
169	111010100000	-40.51491437		0.00016423
170	001000111010	-40.51107539		0.00016423
171	001010100011	-40.51494534		0.00016422
172	101000110010	-40.51117008		0.00016421
173	001010001011	-40.51333185		0.00016420
174	111010001000	-40.51379462		0.00016420
175	101010011000	-40.51666955		0.00016420
176	111010000010	-40.51337889		0.00016419
177	001010011010	-40.51665887		0.00016419
178	101010000011	-40.51325596		0.00016419
179	000010101110	-40.51299248		0.00016419
180	101001101000	-40.51896022		0.00016418
181	100010101100	-40.51308702		0.00016418
182	101010010010	-40.51669804		0.00016417
183	000110101010	-40.51834334		0.00016417
184	001001101010	-40.51900390		0.00016416
185	001010100110	-40.51687097		0.00016415
186	101001100010	-40.51898755		0.00016415
187	100110101000	-40.51859931		0.00016415
188	101010100100	-40.51704623		0.00016414
189	100110100010	-40.51839773		0.00016414
190	110010101000	-40.51372768		0.00016414
191	011010101000	-40.51730216		0.00016414
192	001010101001	-40.51713723		0.00016414
193	110010100010	-40.51354203		0.00016414
194	011010100010	-40.51710855		0.00016414
195	100010001110	-40.51159257		0.00016413
196	000010101011	-40.51400079		0.00016413
197	101010100001	-40.51711887		0.00016413
198	100010100011	-40.51390968		0.00016411
199	101010001001	-40.51566996		0.00016411
200	011010001010	-40.51582421		0.00016410
201	110010001010	-40.51211817		0.00016410
202	100000111010	-40.50994072		0.00016410
203	001100101010	-40.51614846		0.00016410
204	101010000110	-40.51562581		0.00016410
205	100110001010	-40.51725292		0.00016410
206	100010001011	-40.51215666		0.00016409
207	101100101000	-40.51670408		0.00016409
208	101100100010	-40.51627359		0.00016408
209	001000101110	-40.51197159		0.00016407
210	101000101100	-40.51236579		0.00016407
211	100010011010	-40.51574681		0.00016407
212	101001001010	-40.51821544		0.00016406
213	010010101010	-40.51600257		0.00016405
214	100010100110	-40.51581939		0.00016404
215	001000101011	-40.51252208		0.00016403
216	100010101001	-40.51609361		0.00016403
217	111000101000	-40.51314792		0.00016403
218	101100001010	-40.51475609		0.00016402
219	101000100011	-40.51250171		0.00016402
220	111000100010	-40.51273336		0.00016402
221	100001101010	-40.51831445		0.00016402
222	101000001110	-40.51026973		0.00016401
223	101000001011	-40.51037600		0.00016399
224	111000001010	-40.51093681		0.00016398
225	100000101110	-40.51055787		0.00016396
226	101000101001	-40.51491455		0.00016394
227	101000100110	-40.51486924		0.00016393
228	011000101010	-40.51512316		0.00016393
229	110000101010	-40.51119451		0.00016392
230	100000101011	-40.51112428		0.00016392
231	101000011010	-40.51516935		0.00016391
232	100100101010	-40.51677448		0.00016390
233	000111000000	-47.51918301		0.00015065
234	000101100000	-47.52043524		0.00015056
235	000011000001	-47.51915466		0.00015056
236	000011000100	-47.51824531		0.00015047
237	010011000000	-47.51846168		0.00015046
238	000101001000	-47.52036718		0.00015044
239	000001100001	-47.51985295		0.00015042
