%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 3, g: 1, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -1.5001032676906694, 
maxIter: 0, func_eval: 1736
Parameters Found: [ 1.34777799  1.07303251 -0.25254651  1.21223568  1.2906275   0.21563382
 -0.05994649  0.13301227  0.15802519  0.02885309  0.2587035   0.02989372
 -0.35410377 -0.41713384 -0.8372119  -0.22155258]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:4.49s

Optimal: selection 111000, value -1.50054663+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	111000    	-1.50054663		0.05000493
1	011001    	-1.50046857		0.05000399
2	110100    	-1.50035589		0.05000265
3	011010    	-1.50033588		0.05000239
4	011100    	-1.50032694		0.05000224
5	010101    	-1.50025367		0.05000141
6	101001    	-1.50023983		0.05000124
7	001101    	-1.50018763		0.05000061
8	110001    	-1.50017167		0.05000039
9	101100    	-1.50015667		0.05000021
10	110010    	-1.50013718		0.05000000
11	010110    	-1.50012047		0.04999981
12	101010    	-1.50010360		0.04999960
13	001011    	-1.50006142		0.04999910
14	010011    	-1.49996182		0.04999786
15	001110    	-1.49995269		0.04999776
16	100101    	-1.49992599		0.04999745
17	100110    	-1.49978925		0.04999580
18	000111    	-1.49972291		0.04999500
19	100011    	-1.49957213		0.04999314
20	000000    	7.49944689		0.00000057
21	111111    	7.50174853		0.00000042
22	110111    	2.50134827		0.00000014
23	111011    	2.50108530		0.00000014
24	101111    	2.50117288		0.00000014
25	011111    	2.50079909		0.00000013
26	111101    	2.50066558		0.00000013
27	111110    	2.50072757		0.00000013
28	110011    	-0.49921841		0.00000013
29	100111    	-0.49907279		0.00000012
30	101011    	-0.49942300		0.00000011
31	010111    	-0.49950400		0.00000010
32	110101    	-0.49968802		0.00000010
33	011011    	-0.49975527		0.00000009
34	110110    	-0.49963953		0.00000009
35	111001    	-0.49991461		0.00000009
36	101110    	-0.49957674		0.00000009
37	111010    	-0.49986664		0.00000009
38	101101    	-0.49972698		0.00000009
39	001111    	-0.49957440		0.00000009
40	000100    	2.49968531		0.00000009
41	001000    	2.49941903		0.00000009
42	000010    	2.49961052		0.00000008
43	011110    	-0.49985054		0.00000008
44	000001    	2.49940307		0.00000008
45	100000    	2.49933019		0.00000008
46	010000    	2.49914402		0.00000008
47	111100    	-0.50003545		0.00000008
48	011101    	-0.49999724		0.00000008
49	001100    	-0.50024600		0.00000006
50	000110    	-0.50006803		0.00000005
51	001010    	-0.50037069		0.00000005
52	100100    	-0.50032252		0.00000005
53	000101    	-0.50028949		0.00000005
54	010100    	-0.50055021		0.00000005
55	000011    	-0.50011338		0.00000005
56	011000    	-0.50072925		0.00000005
57	100010    	-0.50021956		0.00000004
58	101000    	-0.50060050		0.00000004
59	001001    	-0.50059162		0.00000004
60	100001    	-0.50034230		0.00000004
61	010010    	-0.50050926		0.00000004
62	010001    	-0.50062846		0.00000004
63	110000    	-0.50077052		0.00000004
