%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 3, g: 2, theta3: 1.000000, layers: 10
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -39.87451452707735, 
maxIter: 0, func_eval: 7676
Parameters Found: [ 1.51014053 -0.33059088 -0.24402405 -0.39431951 -0.00182824 -0.17186092
  0.14870056  0.06273982 -0.17827628 -0.10398884  0.02438974  0.18692112
 -0.08372848 -0.0195826   1.00021215  0.88732994  0.13646211  0.13558493
  0.27525212 -0.2329621 ]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:91104.91s

Optimal: selection 101010000000, value -43.51002035+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000010000000	-39.51005469		0.03314557
1	001000000000	-39.51032970		0.03314521
2	100000000000	-39.51014353		0.03313402
3	000000000010	-39.51007065		0.03313213
4	000000100000	-39.50978841		0.03313089
5	000000001000	-39.50986320		0.03312821
6	000000010000	-42.50835676		0.01799141
7	000000000100	-42.50881591		0.01797110
8	000001000000	-42.50964337		0.01796890
9	000000000001	-42.50926577		0.01795931
10	010000000000	-42.50939566		0.01795688
11	000100000000	-42.51008066		0.01794952
12	000000000000	-34.51002683		0.00713287
13	000000000101	-42.50677515		0.00595644
14	000000010100	-42.50681373		0.00595172
15	010000000100	-42.50703827		0.00595112
16	010000000001	-42.50714929		0.00595081
17	010000010000	-42.50729014		0.00594374
18	000000010001	-42.50731962		0.00594233
19	000001010000	-42.50758711		0.00594082
20	000100000001	-42.50823425		0.00593085
21	000100000100	-42.50813739		0.00593083
22	000100010000	-42.50814122		0.00592915
23	000001000100	-42.50824584		0.00592729
24	010100000000	-42.50864085		0.00592225
25	010001000000	-42.50862354		0.00592159
26	000001000001	-42.50874966		0.00591797
27	000101000000	-42.50907887		0.00591610
28	000000110000	-43.50573188		0.00541475
29	000000001100	-43.50688496		0.00539704
30	000000000011	-43.50761220		0.00538751
31	110000000000	-43.50778323		0.00538552
32	000010010000	-43.50819152		0.00538075
33	000000011000	-43.50802708		0.00537911
34	100000010000	-43.50825573		0.00537832
35	000000000110	-43.50821988		0.00537809
36	000000010010	-43.50826254		0.00537745
37	001000010000	-43.50852494		0.00537728
38	100000000100	-43.50835937		0.00537666
39	001000000100	-43.50875260		0.00537368
40	000000100100	-43.50841144		0.00537256
41	100000000001	-43.50863981		0.00537211
42	000000001001	-43.50846230		0.00537210
43	000010000100	-43.50875046		0.00537194
44	010000000010	-43.50869682		0.00537040
45	000011000000	-43.50879287		0.00536983
46	001000000001	-43.50902596		0.00536924
47	010000001000	-43.50865880		0.00536895
48	011000000000	-43.50929421		0.00536497
49	000000100001	-43.50888931		0.00536491
50	000010000001	-43.50922730		0.00536431
51	001100000000	-43.50927972		0.00536430
52	010010000000	-43.50922919		0.00536422
53	010000100000	-43.50893952		0.00536407
54	000001100000	-43.50921186		0.00535856
55	001001000000	-43.50963707		0.00535835
56	000001001000	-43.50938644		0.00535630
57	100001000000	-43.50956574		0.00535628
58	000100000010	-43.50958180		0.00535561
59	000001000010	-43.50962086		0.00535466
60	000110000000	-43.50979935		0.00535437
61	000100001000	-43.50955086		0.00535405
62	100100000000	-43.50979304		0.00535305
63	000100100000	-43.50970756		0.00535112
64	101010101010	-34.50772519		0.00239870
65	010000000101	-34.50351219		0.00185179
66	000000010101	-34.50449689		0.00185156
67	010000010100	-34.50460064		0.00185139
68	010000010001	-34.50476768		0.00185129
69	010100000100	-34.50555110		0.00185090
70	000100000101	-34.50501127		0.00185080
71	010100000001	-34.50530911		0.00185054
72	000001000101	-34.50607242		0.00185043
73	000100010100	-34.50586583		0.00185026
74	010001000100	-34.50607953		0.00185021
75	000100010001	-34.50601871		0.00185015
76	010001000001	-34.50624451		0.00185010
77	010100010000	-34.50626595		0.00185007
78	000001010001	-34.50641731		0.00184939
79	000001010100	-34.50585747		0.00184926
80	010001010000	-34.50613183		0.00184899
81	000101000100	-34.50694897		0.00184885
82	000101000001	-34.50709979		0.00184874
83	010101000000	-34.50725039		0.00184860
84	000101010000	-34.50675323		0.00184748
85	000000001101	-39.50420435		0.00160335
86	000000000111	-39.50448173		0.00160334
87	110000000001	-39.50479420		0.00160298
88	010000000011	-39.50475305		0.00160298
89	100000000101	-39.50557595		0.00160293
90	010000001100	-39.50453407		0.00160261
91	110000000100	-39.50485260		0.00160260
92	010000001001	-39.50577257		0.00160249
93	001000000101	-39.50616916		0.00160241
94	000000100101	-39.50623264		0.00160241
95	010000000110	-39.50569958		0.00160225
96	010000100001	-39.50655510		0.00160203
97	011000000001	-39.50650515		0.00160203
98	000010000101	-39.50664338		0.00160184
99	010000100100	-39.50641607		0.00160172
100	011000000100	-39.50657064		0.00160164
101	010010000001	-39.50691649		0.00160148
102	010010000100	-39.50677849		0.00160117
103	000000110100	-39.50402280		0.00160117
104	000000011100	-39.50471673		0.00160106
105	000000010110	-39.50607966		0.00160062
106	100000010100	-39.50613947		0.00160061
107	010000110000	-39.50444754		0.00160046
108	110000010000	-39.50545999		0.00160034
109	000000110001	-39.50455669		0.00160022
110	001000010100	-39.50661574		0.00160014
