%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 3, g: 2, theta3: 1.000000, layers: 15
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -42.30459316540032, 
maxIter: 0, func_eval: 8000
Parameters Found: [ 0.59248818  0.90646565 -0.39435177 -0.41633112 -0.18787438  0.29162967
 -0.19749962 -0.03888305 -0.02291327  0.15079962  0.01546139  0.08121609
 -0.15411036 -0.07709006  0.1050993   0.02543258  0.05615032 -0.01743701
  1.61272751  0.0435829   0.02280688  1.13425641  0.03156368 -0.15179975
 -0.25534715  0.10991045  0.15046064  1.34803311  0.84119253 -0.12207069]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:12375.89s

Optimal: selection 101010000000, value -43.51002035+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000010000000	-39.51005469		0.06893747
1	000000100000	-39.50978841		0.06891955
2	001000000000	-39.51032970		0.06891000
3	000000001000	-39.50986320		0.06890765
4	000000000010	-39.51007065		0.06889854
5	100000000000	-39.51014353		0.06889647
6	000000110000	-43.50573188		0.00847190
7	000000001100	-43.50688496		0.00846400
8	000000000011	-43.50761220		0.00845859
9	110000000000	-43.50778323		0.00845716
10	000000000110	-43.50821988		0.00844871
11	100000000100	-43.50835937		0.00844750
12	000000001001	-43.50846230		0.00844631
13	100000000001	-43.50863981		0.00844616
14	010000000010	-43.50869682		0.00844506
15	000000100100	-43.50841144		0.00844434
16	010000001000	-43.50865880		0.00844400
17	001000000100	-43.50875260		0.00844379
18	000000011000	-43.50802708		0.00844351
19	100000010000	-43.50825573		0.00844270
20	000010010000	-43.50819152		0.00844269
21	001000000001	-43.50902596		0.00844254
22	000000010010	-43.50826254		0.00844206
23	000010000100	-43.50875046		0.00844172
24	001000010000	-43.50852494		0.00844056
25	000000100001	-43.50888931		0.00844047
26	010000100000	-43.50893952		0.00844002
27	011000000000	-43.50929421		0.00843931
28	010010000000	-43.50922919		0.00843802
29	001100000000	-43.50927972		0.00843797
30	000010000001	-43.50922730		0.00843786
31	000011000000	-43.50879287		0.00843624
32	000100000010	-43.50958180		0.00843227
33	000100001000	-43.50955086		0.00843110
34	100100000000	-43.50979304		0.00843014
35	000110000000	-43.50979935		0.00842921
36	000001100000	-43.50921186		0.00842921
37	000100100000	-43.50970756		0.00842868
38	001001000000	-43.50963707		0.00842761
39	000001001000	-43.50938644		0.00842740
40	100001000000	-43.50956574		0.00842723
41	000001000010	-43.50962086		0.00842597
42	000000001010	-42.50958710		0.00746216
43	100000001000	-42.50969328		0.00746108
44	000000101000	-42.50954176		0.00746107
45	100000000010	-42.50981602		0.00746042
46	000000100010	-42.50976321		0.00745918
47	100000100000	-42.50979625		0.00745901
48	000010100000	-42.50971972		0.00745875
49	000010001000	-42.50984441		0.00745798
50	001000001000	-42.50998298		0.00745776
51	001000000010	-42.51010218		0.00745715
52	001000100000	-42.51002394		0.00745647
53	100010000000	-42.51007422		0.00745624
54	000010000010	-42.51006535		0.00745610
55	101000000000	-42.51024424		0.00745564
56	001010000000	-42.51020298		0.00745493
57	000000010000	-42.50835676		0.00683063
58	000000000100	-42.50881591		0.00681336
59	000000000001	-42.50926577		0.00679898
60	000001000000	-42.50964337		0.00679565
61	010000000000	-42.50939566		0.00679514
62	000100000000	-42.51008066		0.00677817
63	000000000000	-34.51002683		0.00236272
64	000001100001	-39.50818010		0.00072393
65	000001100100	-39.50764827		0.00072356
66	000001001001	-39.50785287		0.00072351
67	010001100000	-39.50797430		0.00072347
68	010100100000	-39.50805002		0.00072337
69	100001000001	-39.50792936		0.00072336
70	001001000001	-39.50820068		0.00072336
71	000100100100	-39.50759822		0.00072325
72	000001000110	-39.50758348		0.00072323
73	000101100000	-39.50851266		0.00072322
74	010001001000	-39.50779337		0.00072320
75	001001000100	-39.50787336		0.00072318
76	100001000100	-39.50759497		0.00072318
77	000010010001	-39.50708805		0.00072316
78	000011000001	-39.50783283		0.00072314
79	000100011000	-39.50744536		0.00072314
80	011001000000	-39.50821292		0.00072311
81	100100010000	-39.50763587		0.00072310
82	010001000010	-39.50785837		0.00072309
83	000101001000	-39.50845575		0.00072307
84	010110000000	-39.50816521		0.00072303
85	000100010010	-39.50750431		0.00072303
86	000110010000	-39.50766681		0.00072301
87	100101000000	-39.50859691		0.00072298
88	000110000100	-39.50776277		0.00072296
89	000100100001	-39.50772309		0.00072296
90	000101000010	-39.50851368		0.00072296
91	001000010001	-39.50694512		0.00072287
92	010010010000	-39.50693058		0.00072281
93	000001010010	-39.50742656		0.00072279
94	000010010100	-39.50655519		0.00072278
95	011000010000	-39.50705400		0.00072278
96	000000011001	-39.50635008		0.00072278
97	000011000100	-39.50730203		0.00072277
98	010100001000	-39.50753781		0.00072276
99	000001011000	-39.50716412		0.00072270
100	001000010100	-39.50661574		0.00072269
101	100000010001	-39.50647593		0.00072267
102	000110000001	-39.50788661		0.00072267
103	010011000000	-39.50757871		0.00072263
104	010000011000	-39.50638722		0.00072262
105	100100000100	-39.50727652		0.00072260
106	100001010000	-39.50729175		0.00072260
107	000001000011	-39.50702975		0.00072252
108	010000010010	-39.50645326		0.00072251
109	100000010100	-39.50613947		0.00072249
110	000000010110	-39.50607966		0.00072249
111	001001010000	-39.50744612		0.00072247
112	010100000010	-39.50739933		0.00072245
113	010000100100	-39.50641607		0.00072244
114	001100010000	-39.50720558		0.00072240
115	000100000110	-39.50699867		0.00072238
116	010010000100	-39.50677849		0.00072236
117	000000100101	-39.50623264		0.00072227
118	000010000101	-39.50664338		0.00072223
119	000100001001	-39.50706459		0.00072221
120	000111000000	-39.50791920		0.00072218
121	010000100001	-39.50655510		0.00072218
122	011100000000	-39.50743559		0.00072216
123	100100000001	-39.50720396		0.00072212
124	010010000001	-39.50691649		0.00072209
125	001101000000	-39.50796875		0.00072208
126	000001001100	-39.50622157		0.00072204
127	001100000100	-39.50697026		0.00072202
128	011000000100	-39.50657064		0.00072200
129	110001000000	-39.50681678		0.00072200
130	000000010011	-39.50552800		0.00072178
131	000011010000	-39.50654352		0.00072173
132	110100000000	-39.50662410		0.00072162
133	001000000101	-39.50616916		0.00072160
134	001100000001	-39.50689062		0.00072153
135	011000000001	-39.50650515		0.00072153
136	110000010000	-39.50545999		0.00072146
137	010000000110	-39.50569958		0.00072146
138	000100001100	-39.50584025		0.00072139
139	010000001001	-39.50577257		0.00072130
140	000000011100	-39.50471673		0.00072129
141	100000000101	-39.50557595		0.00072128
142	000100110000	-39.50538165		0.00072117
143	000000110001	-39.50455669		0.00072107
144	000100000011	-39.50603799		0.00072101
145	010000110000	-39.50444754		0.00072076
146	000000110100	-39.50402280		0.00072069
147	110000000100	-39.50485260		0.00072055
148	010000001100	-39.50453407		0.00072046
149	000001110000	-39.50476913		0.00072039
150	000000000111	-39.50448173		0.00072024
151	000000001101	-39.50420435		0.00072013
152	010000000011	-39.50475305		0.00072010
153	110000000001	-39.50479420		0.00072008
154	000000010101	-34.50449689		0.00048285
155	010000010100	-34.50460064		0.00048280
156	010000010001	-34.50476768		0.00048262
157	000001010100	-34.50585747		0.00048260
158	000100010100	-34.50586583		0.00048249
159	000001010001	-34.50641731		0.00048245
160	010001010000	-34.50613183		0.00048237
161	000100010001	-34.50601871		0.00048231
162	010000000101	-34.50351219		0.00048230
163	010100010000	-34.50626595		0.00048227
164	000001000101	-34.50607242		0.00048221
165	010001000100	-34.50607953		0.00048216
166	000100000101	-34.50501127		0.00048201
167	000101010000	-34.50675323		0.00048201
168	010100000100	-34.50555110		0.00048200
169	010001000001	-34.50624451		0.00048198
170	000101000100	-34.50694897		0.00048181
171	010100000001	-34.50530911		0.00048179
172	000101000001	-34.50709979		0.00048163
173	010101000000	-34.50725039		0.00048159
174	010100000000	-42.50864085		0.00044505
175	010000000001	-42.50714929		0.00044481
176	000100000001	-42.50823425		0.00044480
177	000100000100	-42.50813739		0.00044445
178	010000000100	-42.50703827		0.00044445
179	000000000101	-42.50677515		0.00044428
180	000001000001	-42.50874966		0.00044405
181	010001000000	-42.50862354		0.00044403
182	010000010000	-42.50729014		0.00044390
183	000000010001	-42.50731962		0.00044388
184	000100010000	-42.50814122		0.00044378
185	000101000000	-42.50907887		0.00044371
186	000001000100	-42.50824584		0.00044349
187	000000010100	-42.50681373		0.00044332
188	000001010000	-42.50758711		0.00044249
189	100000001010	-43.50904585		0.00042596
190	000000101010	-43.50919663		0.00042568
191	100000101000	-43.50926297		0.00042564
192	001000001010	-43.50943554		0.00042557
193	100000100010	-43.50939972		0.00042557
194	000010101000	-43.50942641		0.00042546
195	101000000010	-43.50964539		0.00042544
196	101000001000	-43.50961090		0.00042538
197	100010100000	-43.50963039		0.00042535
198	001000101000	-43.50959419		0.00042534
199	000010001010	-43.50953514		0.00042533
200	100010001000	-43.50957732		0.00042533
201	001000100010	-43.50972740		0.00042527
202	001010100000	-43.50980066		0.00042526
203	000010100010	-43.50966136		0.00042525
