%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 3, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -40.860928147191544, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.04628205 -0.91473184  0.05604132 -1.0154194  -0.65508114 -0.69608114
  0.03801307 -0.12672667  0.1234183   0.05581778  0.04405286  1.09622339]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:50836.51s

Optimal: selection 101010000000, value -43.51002035+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000010000000	-39.51005469		0.04014879
1	001000000000	-39.51032970		0.04014870
2	100000000000	-39.51014353		0.04014724
3	000000100000	-39.50978841		0.04014723
4	000000000010	-39.51007065		0.04014695
5	000000001000	-39.50986320		0.04014643
6	000000000000	-34.51002683		0.03246277
7	000001000000	-42.50964337		0.03090030
8	000100000000	-42.51008066		0.03089988
9	010000000000	-42.50939566		0.03089805
10	000000000001	-42.50926577		0.03089794
11	000000000100	-42.50881591		0.03089754
12	000000010000	-42.50835676		0.03089697
13	001010000000	-42.51020298		0.01365496
14	000010100000	-42.50971972		0.01365406
15	100010000000	-42.51007422		0.01365353
16	000010000010	-42.51006535		0.01365333
17	000010001000	-42.50984441		0.01365327
18	001000100000	-42.51002394		0.01365317
19	101000000000	-42.51024424		0.01365281
20	001000000010	-42.51010218		0.01365278
21	001000001000	-42.50998298		0.01365260
22	100000100000	-42.50979625		0.01365187
23	000000100010	-42.50976321		0.01365170
24	000000101000	-42.50954176		0.01365165
25	100000000010	-42.50981602		0.01365155
26	100000001000	-42.50969328		0.01365138
27	000000001010	-42.50958710		0.01365130
28	000011000000	-43.50879287		0.00385305
29	000110000000	-43.50979935		0.00385264
30	001001000000	-43.50963707		0.00385248
31	001100000000	-43.50927972		0.00385226
32	000001100000	-43.50921186		0.00385211
33	000010010000	-43.50819152		0.00385205
34	010010000000	-43.50922919		0.00385202
35	000010000001	-43.50922730		0.00385197
36	000010000100	-43.50875046		0.00385193
37	100001000000	-43.50956574		0.00385180
38	000100100000	-43.50970756		0.00385177
39	000001001000	-43.50938644		0.00385175
40	000001000010	-43.50962086		0.00385175
41	011000000000	-43.50929421		0.00385157
42	001000010000	-43.50852494		0.00385156
43	001000000001	-43.50902596		0.00385155
44	000000110000	-43.50573188		0.00385151
45	100100000000	-43.50979304		0.00385150
46	001000000100	-43.50875260		0.00385149
47	000100000010	-43.50958180		0.00385148
48	000100001000	-43.50955086		0.00385146
49	010000100000	-43.50893952		0.00385118
50	000000100001	-43.50888931		0.00385114
51	000000100100	-43.50841144		0.00385110
