%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 3, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -39.327581956285506, 
maxIter: 0, func_eval: 1152
Parameters Found: [ 0.96341286 -0.54294744 -0.22406167  0.09232528  0.08036502 -0.04685541
  0.00398858 -0.14733815  0.07042247  1.01462965  0.05037283  1.34498497
 -0.01996728 -0.11797234  1.18810909  0.08269441]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:12162.22s

Optimal: selection 101010000000, value -43.51002035+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000000000000	-34.51002683		0.02450255
1	000000100000	-39.50978841		0.01861928
2	000000001000	-39.50986320		0.01861596
3	000000000010	-39.51007065		0.01860874
4	100000000000	-39.51014353		0.01860622
5	000010000000	-39.51005469		0.01860031
6	001000000000	-39.51032970		0.01859432
7	000001000000	-42.50964337		0.01743160
8	000100000000	-42.51008066		0.01742808
9	010000000000	-42.50939566		0.01741797
10	000000000001	-42.50926577		0.01741739
11	000000000100	-42.50881591		0.01741572
12	000000010000	-42.50835676		0.01741413
13	000100100000	-43.50970756		0.00864442
14	000110000000	-43.50979935		0.00864376
15	000100001000	-43.50955086		0.00864303
16	000001100000	-43.50921186		0.00864176
17	000001001000	-43.50938644		0.00864099
18	000100000010	-43.50958180		0.00864082
19	100100000000	-43.50979304		0.00864045
20	000011000000	-43.50879287		0.00864016
21	000001000010	-43.50962086		0.00863915
22	001100000000	-43.50927972		0.00863884
23	010000100000	-43.50893952		0.00863860
24	010010000000	-43.50922919		0.00863832
25	100001000000	-43.50956574		0.00863830
26	001001000000	-43.50963707		0.00863776
27	000000100001	-43.50888931		0.00863773
28	000010000001	-43.50922730		0.00863753
29	010000001000	-43.50865880		0.00863698
30	000000001001	-43.50846230		0.00863583
31	010000000010	-43.50869682		0.00863478
32	011000000000	-43.50929421		0.00863447
33	000000100100	-43.50841144		0.00863445
34	000010000100	-43.50875046		0.00863426
35	001000000001	-43.50902596		0.00863319
36	100000000001	-43.50863981		0.00863313
37	110000000000	-43.50778323		0.00863230
38	000000000011	-43.50761220		0.00863195
39	000010010000	-43.50819152		0.00863157
40	000000011000	-43.50802708		0.00863098
41	000000000110	-43.50821988		0.00863071
42	000000001100	-43.50688496		0.00863045
43	001000000100	-43.50875260		0.00863029
44	100000000100	-43.50835937		0.00863022
45	000000010010	-43.50826254		0.00862915
46	100000010000	-43.50825573		0.00862838
47	001000010000	-43.50852494		0.00862822
48	000000110000	-43.50573188		0.00862768
49	010101010101	37.50413937		0.00728827
50	000001010000	-42.50758711		0.00554548
51	000101000000	-42.50907887		0.00554155
52	000100010000	-42.50814122		0.00553995
53	000001000100	-42.50824584		0.00553973
54	000000010100	-42.50681373		0.00553889
55	010001000000	-42.50862354		0.00553848
56	000001000001	-42.50874966		0.00553809
57	010000010000	-42.50729014		0.00553748
58	000000010001	-42.50731962		0.00553723
59	000100000100	-42.50813739		0.00553519
60	000100000001	-42.50823425		0.00553416
61	010100000000	-42.50864085		0.00553375
62	000000000101	-42.50677515		0.00553326
63	010000000100	-42.50703827		0.00553307
64	010000000001	-42.50714929		0.00553201
65	001010100000	-43.50980066		0.00328356
66	001010000010	-43.50994229		0.00328331
67	101010000000	-43.51002035		0.00328330
68	001010001000	-43.50980960		0.00328329
69	100010100000	-43.50963039		0.00328297
70	000010101000	-43.50942641		0.00328296
71	101000000010	-43.50964539		0.00328285
72	001000001010	-43.50943554		0.00328284
73	100010000010	-43.50971355		0.00328283
74	100010001000	-43.50957732		0.00328283
75	000010001010	-43.50953514		0.00328277
76	000010100010	-43.50966136		0.00328277
77	100000001010	-43.50904585		0.00328269
78	101000001000	-43.50961090		0.00328264
79	001000100010	-43.50972740		0.00328251
80	001000101000	-43.50959419		0.00328250
81	101000100000	-43.50982961		0.00328245
82	100000100010	-43.50939972		0.00328224
83	100000101000	-43.50926297		0.00328223
84	000000101010	-43.50919663		0.00328222
85	000000001010	-42.50958710		0.00294325
86	000000101000	-42.50954176		0.00294229
87	100000001000	-42.50969328		0.00294182
88	000010100000	-42.50971972		0.00294144
89	100000000010	-42.50981602		0.00294122
90	100000100000	-42.50979625		0.00293973
91	000000100010	-42.50976321		0.00293966
92	000010001000	-42.50984441		0.00293885
93	001000001000	-42.50998298		0.00293812
94	001000000010	-42.51010218		0.00293760
95	001000100000	-42.51002394		0.00293731
96	100010000000	-42.51007422		0.00293681
97	001010000000	-42.51020298		0.00293642
98	000010000010	-42.51006535		0.00293623
99	101000000000	-42.51024424		0.00293543
100	010101010100	5.49911918		0.00238476
101	000101010101	5.49924364		0.00238475
102	010101010001	5.49925118		0.00238423
