%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 4, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -29.75760084508625, 
maxIter: 0, func_eval: 3661
Parameters Found: [ 1.22292207 -0.41550109 -0.20117159 -0.11868017 -0.03941696  0.06218166
  0.03405137  0.09562554  0.29879759  1.27152188  0.31530659  0.1080349 ]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:8716.26s

Optimal: selection 101010100000, value -32.50497648+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	001000010000	-31.50434068		0.01039909
1	000010010000	-31.50409100		0.01039905
2	000010000100	-31.50437541		0.01039885
3	001000000100	-31.50443874		0.01039877
4	000010000001	-31.50471487		0.01039874
5	010010000000	-31.50474623		0.01039867
6	100000010000	-31.50418365		0.01039864
7	011000000000	-31.50484494		0.01039861
8	000000010010	-31.50417233		0.01039860
9	001000000001	-31.50466375		0.01039858
10	000000011000	-31.50400427		0.01039843
11	100000000100	-31.50421196		0.01039827
12	000000100100	-31.50420547		0.01039821
13	000000000110	-31.50411834		0.01039817
14	000110000000	-31.50507814		0.01039815
15	001001000000	-31.50492472		0.01039811
16	000000100001	-31.50454551		0.01039810
17	100000000001	-31.50444094		0.01039808
18	010000100000	-31.50460406		0.01039805
19	010000000010	-31.50448816		0.01039799
20	000000001001	-31.50429032		0.01039789
21	010000001000	-31.50443115		0.01039789
22	001100000000	-31.50484798		0.01039786
23	000011000000	-31.50438773		0.01039786
24	100001000000	-31.50487900		0.01039773
25	100100000000	-31.50513113		0.01039771
26	000001000010	-31.50489486		0.01039771
27	110000000000	-31.50398942		0.01039767
28	000000000011	-31.50384776		0.01039764
29	000100100000	-31.50504727		0.01039761
30	000100000010	-31.50499715		0.01039759
31	000000110000	-31.50272821		0.01039758
32	000000001100	-31.50333183		0.01039757
33	000001001000	-31.50472738		0.01039754
34	000001100000	-31.50464417		0.01039752
35	000100001000	-31.50494413		0.01039750
36	101010000000	-31.50519685		0.00834736
37	001010000010	-31.50513780		0.00834730
38	001010001000	-31.50502754		0.00834719
39	001010100000	-31.50503751		0.00834717
40	100010000010	-31.50500353		0.00834697
41	101000100000	-31.50511033		0.00834694
42	000010100010	-31.50493840		0.00834690
43	100010100000	-31.50493614		0.00834688
44	001000100010	-31.50503768		0.00834686
45	100010001000	-31.50489129		0.00834686
46	101000000010	-31.50502733		0.00834683
47	000010001010	-31.50485241		0.00834682
48	101000001000	-31.50497231		0.00834679
49	001000101000	-31.50492714		0.00834675
50	000010101000	-31.50477063		0.00834672
51	001000001010	-31.50485851		0.00834666
52	100000100010	-31.50484777		0.00834645
53	100000101000	-31.50473523		0.00834634
54	000000101010	-31.50468276		0.00834629
55	100000001010	-31.50463372		0.00834620
56	000001000000	-28.50481974		0.00446678
57	000100000000	-28.50518998		0.00446607
58	000000010000	-28.50413755		0.00446587
59	010000000000	-28.50479348		0.00446519
60	000000000100	-28.50436583		0.00446514
61	000000000001	-28.50469011		0.00446511
62	000010100000	-28.50488345		0.00417804
63	001010000000	-28.50519665		0.00417803
64	000010001000	-28.50493859		0.00417780
65	000010000010	-28.50509848		0.00417771
66	100010000000	-28.50511863		0.00417770
67	001000100000	-28.50511670		0.00417762
68	000000101000	-28.50478911		0.00417740
69	001000001000	-28.50507867		0.00417738
70	000000100010	-28.50494930		0.00417731
71	100000100000	-28.50498303		0.00417730
72	001000000010	-28.50518134		0.00417729
73	101000000000	-28.50527640		0.00417728
74	000000001010	-28.50483524		0.00417706
75	100000001000	-28.50491012		0.00417706
76	100000000010	-28.50501478		0.00417696
77	000000000101	-32.50339346		0.00379545
78	000000010100	-32.50337392		0.00379524
79	010000000100	-32.50357177		0.00379518
80	010000000001	-32.50370545		0.00379516
81	000001010000	-32.50379741		0.00379491
82	010000010000	-32.50374344		0.00379483
83	000000010001	-32.50372972		0.00379475
84	000100000100	-32.50420121		0.00379426
85	000100000001	-32.50432694		0.00379426
86	000100010000	-32.50423336		0.00379421
87	000001000100	-32.50413795		0.00379417
88	010001000000	-32.50445195		0.00379388
89	010100000000	-32.50458596		0.00379381
90	000101000000	-32.50471926		0.00379373
91	000001000001	-32.50449259		0.00379368
92	001010010000	-32.50420718		0.00209465
93	101000010000	-32.50427307		0.00209454
94	000010010010	-32.50410713		0.00209453
95	100010010000	-32.50408245		0.00209451
96	001010000100	-32.50436137		0.00209449
97	001000010010	-32.50422283		0.00209445
98	001000011000	-32.50410441		0.00209440
99	000010011000	-32.50393147		0.00209440
100	100010000100	-32.50416688		0.00209433
101	001010000001	-32.50460155		0.00209433
102	000010000110	-32.50410927		0.00209433
103	001000100100	-32.50424051		0.00209432
104	101000000100	-32.50417116		0.00209430
105	011010000000	-32.50471074		0.00209429
106	000010100100	-32.50416074		0.00209424
107	001000000110	-32.50403863		0.00209419
108	100000010010	-32.50400956		0.00209419
109	100010000001	-32.50441104		0.00209417
110	101001000000	-32.50487028		0.00209417
111	001011000000	-32.50440576		0.00209415
112	001000100001	-32.50448127		0.00209415
113	100000011000	-32.50388915		0.00209413
114	011000100000	-32.50461764		0.00209412
