%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 5, g: 1, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -5.472983198714975, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.33929561 -0.24559985 -0.23000506  0.3242421   0.12388479  0.12719469
 -0.10651395  0.40190417  0.3781305  -0.10713646  0.9993682   0.36485227
  0.26129927 -0.62746966  1.03089688  0.21903032]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:13.80s

Optimal: selection 111101, value -5.49999120+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	111101    	-5.49999120		0.16277532
1	111110    	-5.49992329		0.16275805
2	111011    	-5.49982090		0.16274943
3	011111    	-5.49987815		0.16274850
4	110111    	-5.49975281		0.16273501
5	101111    	-5.49973643		0.16272242
6	111111    	-4.49966811		0.01604033
7	110110    	-4.49999606		0.00047803
8	111010    	-4.50005124		0.00047791
9	110101    	-4.50005911		0.00047790
10	101011    	-4.49986498		0.00047786
11	010111    	-4.49992788		0.00047785
12	011011    	-4.49999176		0.00047780
13	111001    	-4.50011410		0.00047778
14	001111    	-4.49987369		0.00047778
15	101101    	-4.49999360		0.00047774
16	100111    	-4.49976548		0.00047763
17	101110    	-4.49989393		0.00047757
18	110011    	-4.49987085		0.00047755
19	011101    	-4.50009806		0.00047751
20	111100    	-4.50013121		0.00047740
21	011110    	-4.49999966		0.00047735
22	000000    	19.50009846		0.00004178
23	000010    	10.50009060		0.00001237
24	000100    	10.50009833		0.00001235
25	000001    	10.49997032		0.00001233
26	001000    	10.50002904		0.00001233
27	100000    	10.49992469		0.00001232
28	010000    	10.49985051		0.00001229
29	000011    	3.50007763		0.00000900
30	100010    	3.50002001		0.00000900
31	100001    	3.49993024		0.00000899
32	000110    	3.50012035		0.00000899
33	001010    	3.50003798		0.00000898
34	000101    	3.49999504		0.00000898
35	010010    	3.49990856		0.00000897
36	100100    	3.49996375		0.00000897
37	010001    	3.49982005		0.00000897
38	001001    	3.49991285		0.00000897
39	101000    	3.49989026		0.00000896
40	110000    	3.49974952		0.00000896
41	001100    	3.50006367		0.00000896
42	010100    	3.49987462		0.00000895
43	011000    	3.49983674		0.00000894
44	100011    	-1.49985927		0.00000278
45	110001    	-1.50014726		0.00000278
46	110010    	-1.50008925		0.00000278
47	010011    	-1.50000672		0.00000277
48	101001    	-1.50009226		0.00000276
49	100101    	-1.50000586		0.00000276
50	001011    	-1.49996305		0.00000276
51	000111    	-1.49986776		0.00000275
52	101010    	-1.49999763		0.00000275
53	100110    	-1.49991104		0.00000275
54	110100    	-1.50018718		0.00000275
55	010101    	-1.50013099		0.00000275
56	011001    	-1.50018177		0.00000274
57	010110    	-1.50003744		0.00000274
58	111000    	-1.50022927		0.00000274
59	011010    	-1.50008841		0.00000274
60	001101    	-1.50002768		0.00000272
61	101100    	-1.50003593		0.00000272
62	001110    	-1.49989751		0.00000271
63	011100    	-1.50010439		0.00000270
