%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 5, g: 2, theta3: 1.000000, layers: 10
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -20.520088705369428, 
maxIter: 0, func_eval: 6719
Parameters Found: [ 0.05846444 -0.29502704 -0.22493535 -0.15551061 -0.03045447  0.04537803
  0.11858307 -0.06353845 -0.13050043  0.05024571  0.02449406  0.03944769
  0.18526914  0.76468111  0.90540681  0.05652083  0.03716671  0.06148428
  0.11058569 -0.05492736]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:934.42s

Optimal: selection 100110100000, value -23.50284318+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000000000101	-22.50190458		0.00544824
1	000000010100	-22.50186568		0.00544809
2	010000000100	-22.50203809		0.00544794
3	010000000001	-22.50216924		0.00544780
4	000001010000	-22.50212933		0.00544757
5	010000010000	-22.50216716		0.00544754
6	000000010001	-22.50213898		0.00544753
7	000001000100	-22.50232808		0.00544697
8	000100000100	-22.50244810		0.00544694
9	000100000001	-22.50257415		0.00544682
10	000100010000	-22.50248787		0.00544681
11	010001000000	-22.50259402		0.00544653
12	000001000001	-22.50260064		0.00544640
13	010100000000	-22.50275932		0.00544636
14	000101000000	-22.50277227		0.00544623
15	000010110000	-22.50139378		0.00405546
16	001000110000	-22.50160386		0.00405543
17	100000110000	-22.50148483		0.00405534
18	000000110010	-22.50148223		0.00405530
19	000000111000	-22.50134683		0.00405528
20	001000001100	-22.50183637		0.00405514
21	000010001100	-22.50180519		0.00405510
22	000000001110	-22.50156877		0.00405508
23	100000001100	-22.50165037		0.00405508
24	000000101100	-22.50169662		0.00405496
25	001000000011	-22.50213964		0.00405489
26	001010010000	-22.50243134		0.00405484
27	100000000011	-22.50195747		0.00405483
28	000010000011	-22.50221834		0.00405480
29	101000000100	-22.50242528		0.00405479
30	001000000110	-22.50233076		0.00405478
31	111000000000	-22.50233411		0.00405478
32	100010010000	-22.50234794		0.00405477
33	001010000100	-22.50251083		0.00405477
34	000000001011	-22.50184708		0.00405476
35	000010000110	-22.50233621		0.00405475
36	110010000000	-22.50226897		0.00405474
37	000010010010	-22.50235403		0.00405474
38	100010000100	-22.50238278		0.00405473
39	110000000010	-22.50203159		0.00405473
40	100000000110	-22.50214604		0.00405472
41	000010011000	-22.50221882		0.00405471
42	101000010000	-22.50250970		0.00405471
43	110000001000	-22.50200281		0.00405466
44	001000010010	-22.50246785		0.00405466
45	000000100011	-22.50211033		0.00405465
46	001000011000	-22.50236926		0.00405465
47	001000100100	-22.50244677		0.00405465
48	000000100110	-22.50222783		0.00405461
49	101000000001	-22.50255388		0.00405460
