%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 5, g: 2, theta3: 1.500000, layers: 10
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -29.472340986415624, 
maxIter: 0, func_eval: 5106
Parameters Found: [-0.45976066 -0.35377605 -0.23425227 -0.12138288 -0.06779822  0.02537592
 -0.02843365 -0.04004792 -0.0297104  -0.14367876  0.02834237  0.23043432
 -0.09894855  1.02557118 -0.1268618   0.03396771 -0.01986921  1.08883319
  0.00537433 -0.05053853]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:49344.26s

Optimal: selection 100110100000, value -35.25284318+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	001000000101	-35.25182534		0.00388984
1	000010000101	-35.25191653		0.00388953
2	100000000101	-35.25160462		0.00388952
3	011000000100	-35.25200866		0.00388948
4	011000000001	-35.25207627		0.00388943
5	001000010100	-35.25193332		0.00388937
6	000000000111	-35.25119131		0.00388926
7	000000100101	-35.25179524		0.00388921
8	010010000100	-35.25200396		0.00388914
9	010010000001	-35.25214482		0.00388911
10	100000010100	-35.25175470		0.00388906
11	110000000100	-35.25138300		0.00388901
12	010000000110	-35.25166852		0.00388901
13	000010010100	-35.25183199		0.00388899
14	110000000001	-35.25145316		0.00388896
15	000000001101	-35.25104586		0.00388894
16	000000010110	-35.25171377		0.00388894
17	010000000011	-35.25141895		0.00388884
18	010000100100	-35.25190006		0.00388881
19	011000010000	-35.25222107		0.00388880
20	010000100001	-35.25204130		0.00388879
21	001000010001	-35.25214308		0.00388872
22	010000001001	-35.25174039		0.00388868
23	010000001100	-35.25120335		0.00388857
24	000000011100	-35.25117752		0.00388848
25	001001010000	-35.25221749		0.00388847
26	010010010000	-35.25209710		0.00388842
27	100000010001	-35.25196701		0.00388841
28	000000110100	-35.25094691		0.00388840
29	000010010001	-35.25211500		0.00388836
30	010000010010	-35.25197824		0.00388836
31	110000010000	-35.25164006		0.00388835
32	100001010000	-35.25215476		0.00388820
33	000000010011	-35.25160636		0.00388817
34	000001010010	-35.25218389		0.00388811
35	010000011000	-35.25190888		0.00388807
36	000000011001	-35.25185672		0.00388799
37	000011010000	-35.25181302		0.00388798
38	001100000100	-35.25216685		0.00388796
39	001100000001	-35.25222936		0.00388793
40	010000110000	-35.25122979		0.00388782
41	000001011000	-35.25204382		0.00388779
42	000000110001	-35.25123029		0.00388777
43	001001000100	-35.25233290		0.00388776
44	100100000100	-35.25226994		0.00388774
45	100100000001	-35.25233500		0.00388771
46	000110000100	-35.25237262		0.00388769
47	000110000001	-35.25250839		0.00388768
48	001100010000	-35.25228996		0.00388766
49	000100000110	-35.25215052		0.00388760
50	000001110000	-35.25120083		0.00388748
51	100001000100	-35.25222552		0.00388747
52	100100010000	-35.25243770		0.00388746
53	000100000011	-35.25189586		0.00388745
54	000100100100	-35.25233996		0.00388739
55	000100100001	-35.25247610		0.00388739
56	000001000110	-35.25220199		0.00388736
57	011100000000	-35.25246434		0.00388734
58	000110010000	-35.25237647		0.00388734
59	011001000000	-35.25258512		0.00388734
60	000100010010	-35.25237094		0.00388733
61	000011000100	-35.25204770		0.00388731
62	000100001001	-35.25221984		0.00388730
63	000100001100	-35.25168790		0.00388716
64	001001000001	-35.25254192		0.00388711
65	000001100100	-35.25219892		0.00388708
66	010110000000	-35.25264747		0.00388707
67	000100011000	-35.25230413		0.00388704
68	110100000000	-35.25216504		0.00388699
69	010100000010	-35.25242473		0.00388698
70	010001000010	-35.25243092		0.00388693
71	110001000000	-35.25207535		0.00388691
72	000001001100	-35.25166611		0.00388690
73	010011000000	-35.25227727		0.00388689
74	100001000001	-35.25243709		0.00388682
75	001101000000	-35.25251154		0.00388680
76	000100110000	-35.25158039		0.00388678
77	010100100000	-35.25263258		0.00388678
78	010100001000	-35.25242899		0.00388671
79	000011000001	-35.25232997		0.00388669
80	010001100000	-35.25244626		0.00388666
81	010001001000	-35.25236193		0.00388664
82	100101000000	-35.25273052		0.00388663
83	000001000011	-35.25209383		0.00388659
84	000101000010	-35.25268116		0.00388650
85	000001100001	-35.25248156		0.00388646
86	000111000000	-35.25241417		0.00388642
87	000001001001	-35.25234456		0.00388641
88	000101100000	-35.25265440		0.00388622
89	000101001000	-35.25261471		0.00388621
90	000000000000	2.24728308		0.00301710
91	000101010001	-21.75151983		0.00287274
92	010101010000	-21.75155547		0.00287270
93	010101000100	-21.75133157		0.00287264
94	010101000001	-21.75135506		0.00287251
95	000101010100	-21.75135419		0.00287248
96	000101000101	-21.75119060		0.00287239
97	010001010001	-21.75113782		0.00287232
98	000001010101	-21.75098310		0.00287223
99	010100010100	-21.75097795		0.00287219
100	010100010001	-21.75100219		0.00287207
101	010001010100	-21.75096708		0.00287205
102	000100010101	-21.75080220		0.00287185
103	010001000101	-21.75071929		0.00287173
104	010100000101	-21.75034514		0.00287081
