%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 5, g: 2, theta3: 1.000000, layers: 15
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -19.841891191152243, 
maxIter: 0, func_eval: 8000
Parameters Found: [-0.16378032  0.98029276 -0.02812354  0.13989204  0.0923219   0.05980085
  0.20155266  1.07045083 -0.0191364   0.22454429  0.09078471  0.05247416
  0.00633983 -0.18692924 -0.17289916  0.06826639  1.06815146  0.05819544
  0.18956784  0.00252132 -0.06909622  0.02697076 -0.01043519  0.03644362
 -0.10437218  0.23314752  0.96425246  1.15661203  1.19997979  1.40487616]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:14570.65s

Optimal: selection 100110100000, value -23.50284318+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000000001000	-7.50272478		0.00615593
1	000000100000	-7.50271705		0.00615577
2	000000000010	-7.50284506		0.00615522
3	100000000000	-7.50289069		0.00615492
4	001000000000	-7.50296487		0.00615293
5	000010000000	-7.50278634		0.00615292
6	100000100010	-19.50282124		0.00435287
7	101000000010	-19.50296264		0.00435263
8	101000001000	-19.50290463		0.00435226
9	100000001010	-19.50267465		0.00435215
10	101000100000	-19.50300256		0.00435179
11	100000101000	-19.50272642		0.00435160
12	000000101010	-19.50268314		0.00435129
13	001000100010	-19.50294637		0.00435116
14	001000001010	-19.50282210		0.00435099
15	001000101000	-19.50285282		0.00434993
16	100010000010	-19.50290764		0.00434978
17	100010001000	-19.50281301		0.00434852
18	000010001010	-19.50277843		0.00434842
19	101010000000	-19.50304465		0.00434762
20	001010000010	-19.50299715		0.00434721
21	000010100010	-19.50284307		0.00434714
22	100010100000	-19.50285131		0.00434660
23	001010001000	-19.50290379		0.00434598
24	000010101000	-19.50271289		0.00434501
25	001010100000	-19.50291977		0.00434351
26	100000000010	-14.50288515		0.00427683
27	100000001000	-14.50279537		0.00427594
28	101000000000	-14.50306586		0.00427560
29	000000001010	-14.50273775		0.00427538
30	001000000010	-14.50299533		0.00427472
31	000000100010	-14.50282034		0.00427445
32	100000100000	-14.50285163		0.00427435
33	001000001000	-14.50290682		0.00427386
34	000000101000	-14.50269503		0.00427268
35	001000100000	-14.50294076		0.00427172
36	000010000010	-14.50290253		0.00427140
37	100010000000	-14.50292513		0.00427109
38	000010001000	-14.50277741		0.00426964
39	001010000000	-14.50297864		0.00426757
40	000010100000	-14.50275172		0.00426601
41	000001010000	-22.50212933		0.00360567
42	000100010000	-22.50248787		0.00360549
43	000101000000	-22.50277227		0.00360521
44	010000010000	-22.50216716		0.00360496
45	000000010001	-22.50213898		0.00360480
46	010001000000	-22.50259402		0.00360475
47	000000010100	-22.50186568		0.00360465
48	000001000001	-22.50260064		0.00360461
49	010100000000	-22.50275932		0.00360448
50	000001000100	-22.50232808		0.00360446
51	000100000001	-22.50257415		0.00360424
52	000100000100	-22.50244810		0.00360417
53	010000000001	-22.50216924		0.00360367
54	010000000100	-22.50203809		0.00360359
55	000000000101	-22.50190458		0.00360338
56	000000000000	1.49728308		0.00281261
57	100100000000	-19.50304235		0.00240781
58	000000100001	-19.50261810		0.00240736
59	010000100000	-19.50267497		0.00240734
60	000100001000	-19.50289018		0.00240717
61	010000001000	-19.50255471		0.00240705
62	000100000010	-19.50294691		0.00240704
63	010000000010	-19.50261399		0.00240694
64	000100100000	-19.50296578		0.00240686
65	100000000001	-19.50257407		0.00240668
66	011000000000	-19.50285561		0.00240645
67	000000001001	-19.50244518		0.00240635
68	100000000100	-19.50238193		0.00240567
69	001000000001	-19.50272025		0.00240540
70	000000100100	-19.50235488		0.00240538
71	000000000110	-19.50231232		0.00240524
72	000001000010	-19.50280191		0.00240499
73	000010000001	-19.50271320		0.00240471
74	000000010010	-19.50236607		0.00240464
75	100001000000	-19.50280146		0.00240446
76	010010000000	-19.50275267		0.00240445
77	001000000100	-19.50253066		0.00240443
78	100000010000	-19.50238301		0.00240435
79	000001001000	-19.50267192		0.00240413
80	000000011000	-19.50223571		0.00240378
81	000110000000	-19.50297225		0.00240300
82	000010000100	-19.50245035		0.00240274
83	001000010000	-19.50248709		0.00240251
84	110000000000	-19.50230449		0.00240222
85	000001100000	-19.50262827		0.00240220
86	001100000000	-19.50286471		0.00240214
87	000000000011	-19.50218474		0.00240191
88	001001000000	-19.50283430		0.00240166
89	000010010000	-19.50228753		0.00239920
90	000000001100	-19.50178615		0.00239900
91	000011000000	-19.50245086		0.00239585
92	000000110000	-19.50142864		0.00239148
93	010000010001	-22.50148379		0.00204498
94	010000000101	-22.50099342		0.00204496
95	010100000100	-22.50178054		0.00204489
96	010100000001	-22.50178461		0.00204483
97	010000010100	-22.50133248		0.00204477
98	000000010101	-22.50125634		0.00204476
99	000100000101	-22.50154741		0.00204460
100	010100010000	-22.50207629		0.00204455
101	000100010001	-22.50194849		0.00204444
102	010001000001	-22.50196229		0.00204427
103	000100010100	-22.50180227		0.00204425
104	000001000101	-22.50177037		0.00204413
105	010001000100	-22.50181172		0.00204407
106	000001010001	-22.50193292		0.00204353
107	010101000000	-22.50237753		0.00204351
108	000101000001	-22.50228452		0.00204348
109	000101000100	-22.50213904		0.00204328
110	010001010000	-22.50186894		0.00204327
111	000001010100	-22.50164020		0.00204306
112	000101010000	-22.50210697		0.00204232
113	100101000000	-23.50273052		0.00201069
114	000001010010	-23.50218389		0.00201069
115	000101000010	-23.50268116		0.00201054
116	000101100000	-23.50265440		0.00201054
117	100001010000	-23.50215476		0.00201045
118	000101001000	-23.50261471		0.00201043
119	000100100001	-23.50247610		0.00201039
120	001001010000	-23.50221749		0.00201024
