%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 5, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -20.39939837006619, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.28265605 -0.34864798 -0.21863373 -0.10312038 -0.00157384 -0.01265846
  0.02908498  0.07400709  0.23466192  1.0871298  -0.18627527  0.11615174]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:36278.21s

Optimal: selection 100110100000, value -23.50284318+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	010100000000	-22.50275932		0.00445032
1	000100010000	-22.50248787		0.00445023
2	000100000001	-22.50257415		0.00445022
3	000001000001	-22.50260064		0.00445021
4	010001000000	-22.50259402		0.00445019
5	010000010000	-22.50216716		0.00445019
6	000000010001	-22.50213898		0.00445019
7	000100000100	-22.50244810		0.00445018
8	000101000000	-22.50277227		0.00445014
9	010000000001	-22.50216924		0.00445012
10	000001000100	-22.50232808		0.00445009
11	010000000100	-22.50203809		0.00445009
12	000000010100	-22.50186568		0.00445007
13	000000000101	-22.50190458		0.00445002
14	000001010000	-22.50212933		0.00444999
15	011010000000	-22.50279942		0.00321648
16	001010000001	-22.50271014		0.00321645
17	011000100000	-22.50275312		0.00321644
18	100110000000	-22.50296548		0.00321642
19	100100100000	-22.50295481		0.00321640
20	000010100001	-22.50262888		0.00321640
21	001000100001	-22.50264644		0.00321639
22	001010000100	-22.50251083		0.00321638
23	101000010000	-22.50250970		0.00321638
24	000110000010	-22.50289309		0.00321638
25	010010100000	-22.50263967		0.00321637
26	000110100000	-22.50288914		0.00321636
27	100010000001	-22.50258463		0.00321636
28	101001000000	-22.50286533		0.00321636
29	001000010010	-22.50246785		0.00321635
30	010010000010	-22.50260151		0.00321635
31	000100100010	-22.50287371		0.00321635
32	000110001000	-22.50283150		0.00321634
33	001001000010	-22.50284088		0.00321634
34	001010010000	-22.50243134		0.00321634
35	001000100100	-22.50244677		0.00321633
36	011000000010	-22.50261870		0.00321632
37	011000001000	-22.50259119		0.00321632
38	010010001000	-22.50253737		0.00321631
39	000100101000	-22.50281193		0.00321631
40	101000000001	-22.50255388		0.00321631
41	000010010010	-22.50235403		0.00321630
42	101000000100	-22.50242528		0.00321630
43	100100000010	-22.50284144		0.00321630
44	000010001001	-22.50247392		0.00321630
45	100100001000	-22.50281520		0.00321630
46	001000011000	-22.50236926		0.00321630
47	100010000100	-22.50238278		0.00321629
48	100001000010	-22.50277204		0.00321629
49	001001001000	-22.50274266		0.00321628
50	100010010000	-22.50234794		0.00321628
51	101100000000	-22.50282015		0.00321628
52	000010100100	-22.50235595		0.00321628
53	001001100000	-22.50274068		0.00321627
54	000010000110	-22.50233621		0.00321627
55	001100100000	-22.50279212		0.00321627
56	100000100001	-22.50248532		0.00321627
57	010000100010	-22.50251090		0.00321626
58	000001100010	-22.50270768		0.00321626
59	001110000000	-22.50276718		0.00321625
60	100000010010	-22.50232778		0.00321624
61	100001100000	-22.50269289		0.00321624
62	001000001001	-22.50243185		0.00321623
63	100001001000	-22.50267255		0.00321623
64	001000000110	-22.50233076		0.00321623
65	010000101000	-22.50244657		0.00321623
66	000001001010	-22.50266101		0.00321623
67	000100001010	-22.50270777		0.00321622
68	000010011000	-22.50221882		0.00321621
69	100000100100	-22.50228310		0.00321620
70	000000101001	-22.50236573		0.00321620
71	001100001000	-22.50267484		0.00321619
72	001100000010	-22.50269980		0.00321619
73	100000011000	-22.50222792		0.00321618
74	000000100110	-22.50222783		0.00321617
75	000001101000	-22.50257265		0.00321617
76	000000011010	-22.50219898		0.00321617
77	000011000010	-22.50254318		0.00321614
78	100011000000	-22.50251969		0.00321611
79	001011000000	-22.50253186		0.00321611
80	010000001010	-22.50230031		0.00321610
81	111000000000	-22.50233411		0.00321610
