%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 5, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -19.474144012498513, 
maxIter: 0, func_eval: 4061
Parameters Found: [ 1.32541216 -0.35744846 -0.04617358 -0.07801604 -0.02572866  0.12576836
  0.07364906 -0.08700198  0.04015472  1.10102389  0.11379119  1.02219012
  0.02206536 -0.15325641  1.00490815  0.02709252]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:26859.07s

Optimal: selection 100110100000, value -23.50284318+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000001010000	-22.50212933		0.00398739
1	000101000000	-22.50277227		0.00398729
2	000001000100	-22.50232808		0.00398711
3	010001000000	-22.50259402		0.00398698
4	000001000001	-22.50260064		0.00398695
5	000100010000	-22.50248787		0.00398690
6	000000010100	-22.50186568		0.00398682
7	000100000100	-22.50244810		0.00398675
8	000100000001	-22.50257415		0.00398669
9	010000010000	-22.50216716		0.00398667
10	000000010001	-22.50213898		0.00398667
11	000000000101	-22.50190458		0.00398664
12	010100000000	-22.50275932		0.00398660
13	010000000100	-22.50203809		0.00398658
14	010000000001	-22.50216924		0.00398651
15	000001010100	-22.50164020		0.00343805
16	000101010000	-22.50210697		0.00343786
17	000001010001	-22.50193292		0.00343781
18	010001010000	-22.50186894		0.00343780
19	000000010101	-22.50125634		0.00343770
20	000001000101	-22.50177037		0.00343767
21	000101000100	-22.50213904		0.00343765
22	010000010100	-22.50133248		0.00343765
23	010001000100	-22.50181172		0.00343763
24	000100010100	-22.50180227		0.00343762
25	000101000001	-22.50228452		0.00343746
26	010000010001	-22.50148379		0.00343746
27	010001000001	-22.50196229		0.00343744
28	000100010001	-22.50194849		0.00343744
29	010000000101	-22.50099342		0.00343742
30	010101000000	-22.50237753		0.00343740
31	000100000101	-22.50154741		0.00343737
32	010100010000	-22.50207629		0.00343736
33	010100000100	-22.50178054		0.00343726
34	010100000001	-22.50178461		0.00343712
35	000101001000	-23.50261471		0.00288955
36	000001100001	-23.50248156		0.00288954
37	000101100000	-23.50265440		0.00288948
38	010100100000	-23.50263258		0.00288946
39	000101000010	-23.50268116		0.00288938
40	000001001001	-23.50234456		0.00288937
41	100101000000	-23.50273052		0.00288935
42	010001100000	-23.50244626		0.00288915
43	010100001000	-23.50242899		0.00288912
44	010001001000	-23.50236193		0.00288911
45	100001000001	-23.50243709		0.00288911
46	010001000010	-23.50243092		0.00288894
47	000100011000	-23.50230413		0.00288893
48	010100000010	-23.50242473		0.00288878
49	100100010000	-23.50243770		0.00288876
50	000100010010	-23.50237094		0.00288875
51	001001000001	-23.50254192		0.00288872
52	010110000000	-23.50264747		0.00288871
53	000100100001	-23.50247610		0.00288858
54	011001000000	-23.50258512		0.00288852
55	000100100100	-23.50233996		0.00288848
56	000001100100	-23.50219892		0.00288847
57	000001000011	-23.50209383		0.00288842
58	000011000001	-23.50232997		0.00288839
59	000001000110	-23.50220199		0.00288831
60	100001000100	-23.50222552		0.00288822
61	001101000000	-23.50251154		0.00288817
62	000110010000	-23.50237647		0.00288816
63	000111000000	-23.50241417		0.00288812
64	000100001001	-23.50221984		0.00288812
65	011100000000	-23.50246434		0.00288808
66	110100000000	-23.50216504		0.00288799
67	100100000100	-23.50226994		0.00288799
68	010011000000	-23.50227727		0.00288796
69	110001000000	-23.50207535		0.00288793
70	100100000001	-23.50233500		0.00288791
71	000110000001	-23.50250839		0.00288788
72	000100000110	-23.50215052		0.00288785
73	001001000100	-23.50233290		0.00288784
74	000110000100	-23.50237262		0.00288778
75	001100010000	-23.50228996		0.00288776
76	000001010010	-23.50218389		0.00288765
77	000001011000	-23.50204382		0.00288764
78	000000011001	-23.50185672		0.00288758
79	010000011000	-23.50190888		0.00288755
80	100001010000	-23.50215476		0.00288742
81	010000010010	-23.50197824		0.00288738
82	100000010001	-23.50196701		0.00288736
83	000001001100	-23.50166611		0.00288735
84	000011000100	-23.50204770		0.00288733
85	000010010001	-23.50211500		0.00288727
86	011000010000	-23.50222107		0.00288718
87	001000010001	-23.50214308		0.00288715
88	001100000100	-23.50216685		0.00288709
89	010010010000	-23.50209710		0.00288706
90	000100001100	-23.50168790		0.00288706
91	001100000001	-23.50222936		0.00288701
92	000100110000	-23.50158039		0.00288700
93	000100000011	-23.50189586		0.00288700
94	001001010000	-23.50221749		0.00288693
95	010000100001	-23.50204130		0.00288675
96	000000010011	-23.50160636		0.00288663
97	010000100100	-23.50190006		0.00288662
98	000000010110	-23.50171377		0.00288652
99	100000010100	-23.50175470		0.00288646
100	110000010000	-23.50164006		0.00288641
101	001000010100	-23.50193332		0.00288626
102	010010000001	-23.50214482		0.00288623
103	000010010100	-23.50183199		0.00288620
104	010000001001	-23.50174039		0.00288619
105	000011010000	-23.50181302		0.00288614
106	010010000100	-23.50200396		0.00288610
107	000000100101	-23.50179524		0.00288609
108	011000000100	-23.50200866		0.00288592
109	000000110001	-23.50123029		0.00288589
110	010000000110	-23.50166852		0.00288589
111	011000000001	-23.50207627		0.00288587
112	010000110000	-23.50122979		0.00288573
113	000010000101	-23.50191653		0.00288561
114	000000011100	-23.50117752		0.00288555
115	000001110000	-23.50120083		0.00288543
116	100000000101	-23.50160462		0.00288530
117	001000000101	-23.50182534		0.00288520
118	010000001100	-23.50120335		0.00288509
119	010000000011	-23.50141895		0.00288507
120	110000000100	-23.50138300		0.00288504
121	110000000001	-23.50145316		0.00288500
122	000000110100	-23.50094691		0.00288482
123	000000000111	-23.50119131		0.00288445
124	000000001101	-23.50104586		0.00288443
125	001010101010	-23.50269353		0.00269578
126	101010101000	-23.50273868		0.00269577
127	101010100010	-23.50280658		0.00269571
128	100010101010	-23.50255181		0.00269566
129	101010001010	-23.50263628		0.00269559
130	101000101010	-23.50256819		0.00269545
131	010000000000	-14.50275321		0.00255732
132	000000000001	-14.50266766		0.00255724
133	000100000000	-14.50301414		0.00255711
134	000000000100	-14.50241453		0.00255675
135	000001000000	-14.50269765		0.00255596
136	000000010000	-14.50228763		0.00255586
137	101000001010	-22.50268623		0.00211427
138	100000101010	-22.50258086		0.00211418
139	101000100010	-22.50287449		0.00211405
140	101000101000	-22.50281144		0.00211394
141	001000101010	-22.50274326		0.00211393
142	100010001010	-22.50268036		0.00211388
143	101010000010	-22.50292948		0.00211375
144	100010100010	-22.50280898		0.00211366
145	101010001000	-22.50286662		0.00211364
146	001010001010	-22.50280714		0.00211363
147	100010101000	-22.50270931		0.00211356
148	000010101010	-22.50268907		0.00211355
149	101010100000	-22.50294659		0.00211343
150	001010100010	-22.50291344		0.00211342
151	001010101000	-22.50281504		0.00211332
152	100100000000	-19.50304235		0.00144863
153	000100100000	-19.50296578		0.00144855
154	000100000010	-19.50294691		0.00144843
155	000100001000	-19.50289018		0.00144841
156	010000100000	-19.50267497		0.00144804
157	000000100001	-19.50261810		0.00144795
158	010000000010	-19.50261399		0.00144781
