%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 6, g: 2, theta3: 1.000000, layers: 10
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -13.307472585079445, 
maxIter: 0, func_eval: 8000
Parameters Found: [ 1.1204432  -0.35138084 -0.13825092 -0.0260846  -0.16856197  0.11576978
  0.17017451 -0.12909011  0.06650496 -0.07417511  0.04518573  0.21155977
  0.80589082  0.94828272  0.00509545 -0.20894201 -0.04750356 -0.20150745
 -0.02529641  0.90751841]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:1101.91s

Optimal: selection 100110100010, value -16.50173109+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	010101000000	-16.50157029		0.00239770
1	000101000001	-16.50149223		0.00239765
2	010100010000	-16.50137955		0.00239762
3	000101000100	-16.50135955		0.00239757
4	000101010000	-16.50135061		0.00239754
5	000100010001	-16.50127734		0.00239754
6	000001010001	-16.50121130		0.00239753
7	010001000001	-16.50126349		0.00239749
8	010001010000	-16.50118034		0.00239746
9	000100010100	-16.50114413		0.00239746
10	010001000100	-16.50112727		0.00239741
11	000001000101	-16.50108508		0.00239740
12	010100000100	-16.50116084		0.00239738
13	010100000001	-16.50119533		0.00239734
14	000001010100	-16.50097636		0.00239734
15	010000010001	-16.50094966		0.00239727
16	000100000101	-16.50098548		0.00239721
17	010000010100	-16.50081292		0.00239719
18	000000010101	-16.50074657		0.00239714
19	010000000101	-16.50059579		0.00239686
20	100101100000	-16.50169046		0.00166916
21	010110100000	-16.50165484		0.00166915
22	000101100010	-16.50165941		0.00166915
23	000101101000	-16.50159393		0.00166913
24	100101000010	-16.50165259		0.00166912
25	100101001000	-16.50161179		0.00166912
26	001001100001	-16.50155307		0.00166911
27	011001100000	-16.50157662		0.00166911
28	000110100001	-16.50156470		0.00166911
29	000101001010	-16.50156245		0.00166909
30	010100101000	-16.50150905		0.00166909
31	100001100001	-16.50146740		0.00166909
32	100110010000	-16.50150376		0.00166908
33	010001100010	-16.50145990		0.00166907
34	010100100010	-16.50152543		0.00166907
35	100100010010	-16.50144977		0.00166907
36	000001101001	-16.50138705		0.00166907
37	100100011000	-16.50140872		0.00166906
38	000110010010	-16.50146666		0.00166906
39	000110100100	-16.50143176		0.00166906
40	010110001000	-16.50151926		0.00166905
41	011001000010	-16.50152413		0.00166905
42	011001001000	-16.50148245		0.00166905
43	010001101000	-16.50139266		0.00166905
44	011100100000	-16.50156257		0.00166905
45	101001000001	-16.50150438		0.00166904
46	000110011000	-16.50140106		0.00166904
47	100100100001	-16.50146634		0.00166904
48	010110000010	-16.50153550		0.00166904
49	001001010010	-16.50138819		0.00166903
50	000100011010	-16.50134730		0.00166903
51	100100100100	-16.50138250		0.00166903
52	001001100100	-16.50136926		0.00166903
53	001001001001	-16.50142233		0.00166902
54	101001010000	-16.50139199		0.00166902
55	100001010010	-16.50131714		0.00166902
56	011010010000	-16.50136518		0.00166901
57	001101100000	-16.50155126		0.00166901
58	101101000000	-16.50158631		0.00166901
59	100110000001	-16.50148246		0.00166901
60	001010010001	-16.50132956		0.00166901
61	000100101001	-16.50137026		0.00166901
62	101100010000	-16.50144504		0.00166900
63	000001100110	-16.50126870		0.00166900
64	000011100001	-16.50137097		0.00166900
65	100001100100	-16.50128182		0.00166900
66	100110000100	-16.50139887		0.00166900
67	101001000100	-16.50136992		0.00166900
68	000001011010	-16.50123039		0.00166899
69	011110000000	-16.50154188		0.00166899
70	001001011000	-16.50129715		0.00166899
71	010001001010	-16.50133194		0.00166899
72	100001001001	-16.50132116		0.00166899
73	100111000000	-16.50151733		0.00166898
74	001001000110	-16.50132955		0.00166898
75	000110001001	-16.50139255		0.00166898
76	001101000010	-16.50152801		0.00166898
77	000100100110	-16.50130279		0.00166898
78	100001011000	-16.50122522		0.00166898
79	001101001000	-16.50148810		0.00166897
80	000111000010	-16.50149232		0.00166897
81	010010100001	-16.50128649		0.00166897
82	011000010010	-16.50127185		0.00166897
83	001100010010	-16.50137466		0.00166896
84	001011000001	-16.50141676		0.00166896
85	011000011000	-16.50122991		0.00166896
86	001100011000	-16.50133449		0.00166896
87	000111100000	-16.50144872		0.00166896
88	100010010001	-16.50121915		0.00166896
89	100011000001	-16.50135582		0.00166895
90	000111001000	-16.50142697		0.00166895
91	011011000000	-16.50142823		0.00166895
92	000110000110	-16.50132521		0.00166895
93	001110010000	-16.50138929		0.00166895
94	010010010010	-16.50121769		0.00166895
95	001100100001	-16.50140585		0.00166895
96	101000010001	-16.50124002		0.00166895
97	010011100000	-16.50132792		0.00166894
98	100001000110	-16.50122750		0.00166894
99	000011001001	-16.50128163		0.00166894
100	001100100100	-16.50132377		0.00166894
101	010011000010	-16.50134228		0.00166893
102	000010011001	-16.50113263		0.00166893
103	011000100001	-16.50127380		0.00166893
104	010010011000	-16.50115032		0.00166893
105	011010000001	-16.50131465		0.00166892
106	010100001010	-16.50131465		0.00166892
107	001010010100	-16.50114548		0.00166892
108	011100001000	-16.50138559		0.00166892
109	010010100100	-16.50115000		0.00166892
110	011000100100	-16.50118819		0.00166892
111	001000011001	-16.50114563		0.00166892
112	010011001000	-16.50127517		0.00166891
113	110100100000	-16.50134186		0.00166891
114	011010000100	-16.50122929		0.00166891
115	000001100011	-16.50123226		0.00166891
116	001110000001	-16.50139723		0.00166890
117	000010100101	-16.50109574		0.00166890
118	101000010100	-16.50110504		0.00166890
119	001110000100	-16.50131541		0.00166889
120	011100000010	-16.50137640		0.00166888
121	001011000100	-16.50123320		0.00166888
122	001000010110	-16.50105259		0.00166887
123	110110000000	-16.50134590		0.00166887
124	000011000110	-16.50116342		0.00166887
125	100100001001	-16.50123728		0.00166887
126	000011100100	-16.50113628		0.00166887
127	100010010100	-16.50103331		0.00166887
128	000010010110	-16.50101416		0.00166887
129	100011000100	-16.50117050		0.00166887
130	100100000110	-16.50119449		0.00166886
131	111001000000	-16.50130123		0.00166886
132	110001100000	-16.50120974		0.00166886
133	000011010010	-16.50113924		0.00166886
134	101100000100	-16.50125734		0.00166886
135	010000011010	-16.50101785		0.00166885
136	001001000011	-16.50124198		0.00166885
137	001010000101	-16.50112052		0.00166885
138	001000100101	-16.50106733		0.00166885
139	100000011001	-16.50099499		0.00166884
140	101100000001	-16.50129006		0.00166883
141	100011010000	-16.50110974		0.00166882
142	010010001001	-16.50108333		0.00166882
143	100001000011	-16.50114169		0.00166881
144	001111000000	-16.50135340		0.00166881
145	000100100011	-16.50116461		0.00166881
146	001011010000	-16.50114144		0.00166881
147	010000101001	-16.50101158		0.00166881
148	000001001011	-16.50106773		0.00166880
149	000011011000	-16.50102277		0.00166880
150	100000010110	-16.50090107		0.00166880
151	110001000010	-16.50114264		0.00166879
152	001100001001	-16.50119229		0.00166879
153	010010000110	-16.50101422		0.00166879
154	110001001000	-16.50110007		0.00166879
155	001100000110	-16.50115038		0.00166879
156	000110000011	-16.50118676		0.00166878
157	111000010000	-16.50106103		0.00166878
158	000011000011	-16.50112672		0.00166878
159	000010010011	-16.50097797		0.00166878
160	010000100110	-16.50094234		0.00166878
161	110100001000	-16.50114937		0.00166878
162	100010000101	-16.50097911		0.00166878
163	100000100101	-16.50090119		0.00166876
164	011000001001	-16.50102923		0.00166875
165	111100000000	-16.50122009		0.00166874
166	001000010011	-16.50096554		0.00166874
167	011000000110	-16.50098556		0.00166874
168	110010010000	-16.50097357		0.00166874
169	110100000010	-16.50114107		0.00166874
170	000100101100	-16.50096219		0.00166874
171	000001101100	-16.50087724		0.00166872
172	110011000000	-16.50108608		0.00166872
173	001001001100	-16.50096365		0.00166872
174	000110001100	-16.50098474		0.00166871
175	101000000101	-16.50091715		0.00166870
176	100100110000	-16.50095723		0.00166869
177	100001001100	-16.50086071		0.00166868
178	000001001110	-16.50082931		0.00166867
179	100000010011	-16.50081578		0.00166867
180	110000010010	-16.50084088		0.00166867
181	000100110010	-16.50091410		0.00166866
182	110000011000	-16.50079806		0.00166866
183	100100000011	-16.50100694		0.00166866
184	000100111000	-16.50084836		0.00166864
185	000000011011	-16.50072948		0.00166864
186	100100001100	-16.50087857		0.00166864
187	000100001011	-16.50091726		0.00166863
188	010010000011	-16.50087932		0.00166863
189	110010000001	-16.50089381		0.00166863
190	000110110000	-16.50089266		0.00166862
191	110000100001	-16.50082822		0.00166862
192	010000100011	-16.50080769		0.00166861
193	110010000100	-16.50080668		0.00166861
194	001000011100	-16.50068643		0.00166861
195	110000100100	-16.50074084		0.00166860
196	011000110000	-16.50079392		0.00166860
197	000011001100	-16.50077208		0.00166859
198	111000000100	-16.50081131		0.00166859
199	000010011100	-16.50062256		0.00166859
200	001000110001	-16.50074621		0.00166858
201	001100000011	-16.50096107		0.00166858
202	000100001110	-16.50078058		0.00166858
203	001100110000	-16.50086750		0.00166857
204	000010110001	-16.50069180		0.00166857
205	000010000111	-16.50070135		0.00166857
206	001100001100	-16.50083535		0.00166856
207	000001110010	-16.50071437		0.00166856
208	111000000001	-16.50084757		0.00166856
209	010010001100	-16.50067198		0.00166855
210	000000100111	-16.50061739		0.00166854
211	011000000011	-16.50079978		0.00166854
212	001001110000	-16.50074734		0.00166854
213	010000101100	-16.50059997		0.00166854
214	010010110000	-16.50067292		0.00166854
215	100000011100	-16.50053402		0.00166853
216	100001110000	-16.50069091		0.00166853
217	011000001100	-16.50066875		0.00166852
218	100000110001	-16.50061108		0.00166852
219	000000011110	-16.50049054		0.00166851
220	010000110010	-16.50061565		0.00166851
221	000001111000	-16.50059777		0.00166850
222	000010001101	-16.50058114		0.00166850
223	001000110100	-16.50056188		0.00166850
224	010000111000	-16.50054815		0.00166849
225	000000111001	-16.50051838		0.00166849
226	000000101101	-16.50049705		0.00166848
227	001000000111	-16.50060610		0.00166847
228	000010110100	-16.50045660		0.00166844
229	100000110100	-16.50042498		0.00166843
230	110000001001	-16.50056815		0.00166843
231	000000110110	-16.50039978		0.00166842
232	001000001101	-16.50051133		0.00166842
233	110000000110	-16.50052359		0.00166842
234	010000001011	-16.50052934		0.00166841
235	100000000111	-16.50042534		0.00166836
236	010000001110	-16.50038912		0.00166836
237	000000110011	-16.50036385		0.00166833
238	100000001101	-16.50032968		0.00166832
239	000011110000	-16.50043155		0.00166832
240	110000110000	-16.50037758		0.00166831
241	110000000011	-16.50033959		0.00166822
242	110000001100	-16.50020590		0.00166819
243	000000111100	-16.50000806		0.00166814
244	000000001111	-16.50002760		0.00166809
245	100110100010	-16.50173109		0.00140791
246	100110101000	-16.50169017		0.00140791
247	101001100010	-16.50168617		0.00140791
248	101001101000	-16.50161981		0.00140789
249	001001101010	-16.50159773		0.00140789
250	000110101010	-16.50163479		0.00140789
251	100001101010	-16.50151118		0.00140786
252	101001001010	-16.50157372		0.00140786
253	011010100010	-16.50157790		0.00140785
254	101110100000	-16.50169559		0.00140785
255	100100101010	-16.50156098		0.00140785
256	011010101000	-16.50153609		0.00140785
257	101010010010	-16.50146870		0.00140785
258	101010100001	-16.50155211		0.00140784
259	100110001010	-16.50157723		0.00140784
260	101010011000	-16.50140221		0.00140783
261	101100101000	-16.50159005		0.00140783
262	001010101001	-16.50146389		0.00140782
263	001110100010	-16.50163125		0.00140782
264	001010011010	-16.50137408		0.00140782
265	001110101000	-16.50159121		0.00140782
266	101100100010	-16.50160554		0.00140781
267	101010100100	-16.50141740		0.00140781
268	101011000010	-16.50154382		0.00140780
269	001011100010	-16.50151709		0.00140779
270	100011100010	-16.50147077		0.00140779
271	101000011010	-16.50130909		0.00140779
272	101110001000	-16.50157552		0.00140779
273	001010100110	-16.50137099		0.00140779
274	101011100000	-16.50151484		0.00140778
275	101110000010	-16.50159088		0.00140778
276	001100101010	-16.50150137		0.00140778
277	100010011010	-16.50126280		0.00140778
278	001011001010	-16.50146154		0.00140778
279	101011001000	-16.50147759		0.00140778
280	000011101010	-16.50139019		0.00140778
281	010010101010	-16.50135481		0.00140778
282	100010101001	-16.50133799		0.00140777
283	100011001010	-16.50139973		0.00140777
284	011010001010	-16.50140854		0.00140777
285	011000101010	-16.50136756		0.00140776
286	001011101000	-16.50142618		0.00140776
287	100011101000	-16.50137898		0.00140776
288	001110001010	-16.50149289		0.00140775
289	101010001001	-16.50136446		0.00140774
290	101000101001	-16.50131744		0.00140774
291	100010100110	-16.50124420		0.00140774
292	101010000110	-16.50129623		0.00140773
293	101000100110	-16.50124908		0.00140772
294	101100001010	-16.50141026		0.00140771
295	111010100000	-16.50136104		0.00140771
296	001010100011	-16.50128367		0.00140769
297	100010100011	-16.50115865		0.00140764
298	111000101000	-16.50117502		0.00140763
299	111010001000	-16.50120996		0.00140763
300	110010100010	-16.50117168		0.00140763
301	110010101000	-16.50112898		0.00140762
302	111000100010	-16.50119228		0.00140762
303	111010000010	-16.50122709		0.00140762
304	000010101011	-16.50107852		0.00140762
305	101010000011	-16.50115956		0.00140759
306	101000100011	-16.50111267		0.00140759
307	001010101100	-16.50100496		0.00140758
308	001010001011	-16.50107773		0.00140757
309	001000101011	-16.50102467		0.00140757
310	101010001100	-16.50095488		0.00140753
311	110010001010	-16.50098681		0.00140753
312	100010101100	-16.50087728		0.00140753
313	101000101100	-16.50090760		0.00140753
314	100010001011	-16.50093721		0.00140752
315	110000101010	-16.50092109		0.00140752
316	000010101110	-16.50083984		0.00140751
317	101000110010	-16.50089139		0.00140751
318	001010110010	-16.50089947		0.00140750
319	001010001110	-16.50089018		0.00140750
320	111000001010	-16.50096600		0.00140750
321	101010110000	-16.50090931		0.00140750
322	100000101011	-16.50085942		0.00140749
323	001000101110	-16.50083686		0.00140749
324	101000111000	-16.50082478		0.00140749
325	001000111010	-16.50079061		0.00140748
326	100010110010	-16.50080369		0.00140747
327	001010111000	-16.50080830		0.00140747
328	000010111010	-16.50071077		0.00140745
329	101000001011	-16.50084982		0.00140745
330	100010001110	-16.50074789		0.00140744
331	100010111000	-16.50071163		0.00140744
332	100000111010	-16.50065459		0.00140742
333	100000101110	-16.50066984		0.00140742
334	101000001110	-16.50071137		0.00140740
335	010100100000	-15.50173602		0.00139270
336	010110000000	-15.50173713		0.00139265
337	000100100001	-15.50161388		0.00139264
338	010100001000	-15.50158797		0.00139261
339	100100010000	-15.50158479		0.00139261
340	100101000000	-15.50176968		0.00139260
341	000110000001	-15.50162708		0.00139260
342	010100000010	-15.50160084		0.00139260
343	000001100001	-15.50156245		0.00139260
344	011001000000	-15.50166622		0.00139259
345	000100100100	-15.50148768		0.00139259
346	000101000010	-15.50172866		0.00139258
347	000100010010	-15.50153169		0.00139258
348	001001000001	-15.50162275		0.00139258
349	011000010000	-15.50143186		0.00139257
350	100001000001	-15.50154746		0.00139257
351	010001100000	-15.50155140		0.00139257
352	010001000010	-15.50154992		0.00139257
353	011100000000	-15.50163757		0.00139257
