%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 6, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -13.170737591732825, 
maxIter: 0, func_eval: 1655
Parameters Found: [ 1.08058926 -0.35292451 -0.16122023  0.03932953 -0.07361441  0.05482865
  0.05170627  0.19604808 -0.03917701  0.99366459  0.07464599  0.0807614 ]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:4463.23s

Optimal: selection 100110100010, value -16.50173109+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	010000010001	-16.50094966		0.00188026
1	010000010100	-16.50081292		0.00188026
2	010100010000	-16.50137955		0.00188026
3	000000010101	-16.50074657		0.00188026
4	000100010001	-16.50127734		0.00188026
5	000100010100	-16.50114413		0.00188025
6	010100000001	-16.50119533		0.00188025
7	010100000100	-16.50116084		0.00188025
8	010000000101	-16.50059579		0.00188025
9	000001010001	-16.50121130		0.00188025
10	010001010000	-16.50118034		0.00188025
11	000100000101	-16.50098548		0.00188024
12	010001000001	-16.50126349		0.00188024
13	000001010100	-16.50097636		0.00188024
14	010001000100	-16.50112727		0.00188024
15	000001000101	-16.50108508		0.00188024
16	000101010000	-16.50135061		0.00188024
17	010101000000	-16.50157029		0.00188024
18	000101000001	-16.50149223		0.00188024
19	000101000100	-16.50135955		0.00188023
20	011000010000	-15.50143186		0.00173200
21	010110000000	-15.50173713		0.00173200
22	010100100000	-15.50173602		0.00173200
23	001000010001	-15.50136423		0.00173199
24	010010000001	-15.50136962		0.00173198
25	000110000001	-15.50162708		0.00173198
26	100100010000	-15.50158479		0.00173198
27	000100100001	-15.50161388		0.00173198
28	011000000001	-15.50134964		0.00173197
29	011000000100	-15.50127102		0.00173197
30	000010010001	-15.50131712		0.00173197
31	011001000000	-15.50166622		0.00173197
32	011100000000	-15.50163757		0.00173197
33	010100000010	-15.50160084		0.00173196
34	001001000001	-15.50162275		0.00173196
35	010100001000	-15.50158797		0.00173196
36	000100010010	-15.50153169		0.00173196
37	000110000100	-15.50150113		0.00173196
38	010010010000	-15.50131816		0.00173196
39	010010000100	-15.50124014		0.00173196
40	010000100001	-15.50130696		0.00173196
41	001000010100	-15.50118690		0.00173196
42	100100000001	-15.50153180		0.00173196
43	000100100100	-15.50148768		0.00173196
44	100100000100	-15.50145496		0.00173195
45	000010000101	-15.50116596		0.00173195
46	100000010001	-15.50123947		0.00173195
47	010000010010	-15.50125401		0.00173195
48	000110010000	-15.50151714		0.00173195
49	000100011000	-15.50146946		0.00173194
50	100001000001	-15.50154746		0.00173194
51	000001100001	-15.50156245		0.00173194
52	010001000010	-15.50154992		0.00173194
53	100101000000	-15.50176968		0.00173194
54	001000000101	-15.50113025		0.00173194
55	010000100100	-15.50117722		0.00173194
56	001100010000	-15.50148468		0.00173194
57	001001000100	-15.50144594		0.00173193
58	010000011000	-15.50119001		0.00173193
59	010001100000	-15.50155140		0.00173193
60	000101000010	-15.50172866		0.00173193
61	000100001001	-15.50142926		0.00173193
62	000000100101	-15.50109096		0.00173193
63	000100000110	-15.50136529		0.00173193
64	000010010100	-15.50108892		0.00173193
65	001100000001	-15.50146092		0.00173193
66	000000011001	-15.50114032		0.00173192
67	010001001000	-15.50148617		0.00173192
68	100000010100	-15.50106038		0.00173192
69	001100000100	-15.50138585		0.00173192
70	000001001001	-15.50146064		0.00173192
71	100001000100	-15.50136888		0.00173192
72	000000010110	-15.50102522		0.00173191
73	000101001000	-15.50166669		0.00173191
74	000001000110	-15.50134580		0.00173191
75	000101100000	-15.50170092		0.00173191
76	001001010000	-15.50137912		0.00173191
77	000001010010	-15.50134657		0.00173191
78	000011000001	-15.50144794		0.00173190
79	110100000000	-15.50142724		0.00173190
80	010000001001	-15.50109133		0.00173190
81	100001010000	-15.50133307		0.00173190
