%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 6, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -13.038542909362548, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.39099836 -0.30774957 -0.19833624 -0.01014762  0.27648962 -0.21971256
  0.0410819   0.10972929  0.02943196  0.07884048  0.98349203  1.19549191
  0.01945818 -0.36446033 -0.33916722  1.26880728]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:8167.60s

Optimal: selection 100110100010, value -16.50173109+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	101010100010	-15.50182250		0.00263006
1	101010101000	-15.50175952		0.00263001
2	001010101010	-15.50172143		0.00262996
3	101010001010	-15.50169758		0.00262977
4	100010101010	-15.50162053		0.00262965
5	101000101010	-15.50165952		0.00262951
6	110000000101	-15.50000095		0.00211789
7	010000000111	-15.49995381		0.00211788
8	011000000101	-15.50048792		0.00211786
9	010000001101	-15.49987933		0.00211786
10	010010000101	-15.50057613		0.00211782
11	010000100101	-15.50049528		0.00211772
12	000000110101	-15.50010388		0.00211767
13	001000010101	-15.50070611		0.00211766
14	000000010111	-15.50025575		0.00211766
15	000000011101	-15.50013191		0.00211765
16	010000110100	-15.50015030		0.00211764
17	001100000101	-15.50070274		0.00211764
18	110000010100	-15.50034931		0.00211764
19	000010010101	-15.50072722		0.00211763
20	011000010100	-15.50080704		0.00211762
21	100000010101	-15.50052959		0.00211761
22	010010010100	-15.50076156		0.00211761
23	010000011100	-15.50021490		0.00211761
24	000100000111	-15.50039350		0.00211761
25	000011010100	-15.50075399		0.00211758
26	000100001101	-15.50032079		0.00211758
27	110000010001	-15.50044370		0.00211758
28	000001110100	-15.50031990		0.00211757
29	010000110001	-15.50029404		0.00211757
30	010000010110	-15.50056077		0.00211757
31	000110000101	-15.50093711		0.00211756
32	010000010011	-15.50043313		0.00211756
33	011000010001	-15.50089966		0.00211756
34	100100000101	-15.50072185		0.00211754
35	001001010100	-15.50099427		0.00211754
36	010010010001	-15.50090505		0.00211754
37	011100000001	-15.50090305		0.00211753
38	000001011100	-15.50049833		0.00211751
39	110100000001	-15.50064272		0.00211750
40	010100000011	-15.50057765		0.00211750
41	011100000100	-15.50091269		0.00211749
42	010011010000	-15.50093272		0.00211748
43	100001010100	-15.50089645		0.00211747
44	010001110000	-15.50051096		0.00211747
45	010000011001	-15.50063352		0.00211747
46	000011000101	-15.50089441		0.00211747
47	010011000100	-15.50090459		0.00211746
48	110100000100	-15.50065059		0.00211746
49	010110000001	-15.50112170		0.00211746
50	001001000101	-15.50100100		0.00211746
51	000100100101	-15.50090573		0.00211745
52	001100010100	-15.50096339		0.00211745
53	000001010110	-15.50089330		0.00211745
54	110001000100	-15.50066951		0.00211745
55	000111010000	-15.50107428		0.00211745
56	000001000111	-15.50061219		0.00211744
57	011001000100	-15.50107777		0.00211744
58	110001010000	-15.50081146		0.00211744
59	011001010000	-15.50118871		0.00211744
60	001101010000	-15.50118411		0.00211744
61	010100001100	-15.50051280		0.00211743
62	000100110100	-15.50050228		0.00211743
63	000001001101	-15.50048860		0.00211743
64	010110000100	-15.50108047		0.00211743
65	000101110000	-15.50070199		0.00211742
66	010001001100	-15.50054744		0.00211742
67	000110010100	-15.50106407		0.00211741
68	000011010001	-15.50099568		0.00211741
69	010100000110	-15.50080754		0.00211740
70	000001110001	-15.50056184		0.00211740
71	001100010001	-15.50105247		0.00211740
72	100001000101	-15.50087394		0.00211740
73	010100001001	-15.50082916		0.00211739
74	010011000001	-15.50104756		0.00211739
75	110001000001	-15.50076338		0.00211739
76	000100011100	-15.50059789		0.00211739
77	001001010001	-15.50118509		0.00211738
78	011001000001	-15.50116987		0.00211738
79	001101000100	-15.50113518		0.00211738
80	010001000110	-15.50089305		0.00211737
81	010001000011	-15.50076489		0.00211737
82	000111000100	-15.50110817		0.00211737
83	000100110001	-15.50064248		0.00211736
84	010001010010	-15.50107157		0.00211735
85	100100010100	-15.50101173		0.00211735
86	000001010011	-15.50086385		0.00211735
87	000100010110	-15.50094199		0.00211735
88	010100100001	-15.50110266		0.00211735
89	000100010011	-15.50081081		0.00211735
90	000110010001	-15.50120402		0.00211734
91	010001011000	-15.50100083		0.00211733
92	000001100101	-15.50099073		0.00211732
93	001101000001	-15.50122374		0.00211732
94	010001100100	-15.50101299		0.00211732
95	011100010000	-15.50118927		0.00211732
96	010100100100	-15.50106117		0.00211732
97	100101010000	-15.50131293		0.00211731
98	100001010001	-15.50108904		0.00211731
99	000101010010	-15.50129184		0.00211730
100	010100110000	-15.50072478		0.00211730
101	000101001100	-15.50083149		0.00211730
102	000111000001	-15.50124760		0.00211730
103	100100010001	-15.50110258		0.00211729
104	110100010000	-15.50095818		0.00211728
105	010110010000	-15.50127423		0.00211728
106	010001001001	-15.50096554		0.00211728
107	000101011000	-15.50122286		0.00211727
108	000001011001	-15.50101514		0.00211727
109	011101000000	-15.50133639		0.00211727
110	100101000100	-15.50123299		0.00211726
111	010111000000	-15.50129365		0.00211726
112	000101000110	-15.50117533		0.00211726
113	000101000011	-15.50104363		0.00211725
114	000100011001	-15.50101296		0.00211725
115	010001100001	-15.50115622		0.00211725
116	110101000000	-15.50115477		0.00211722
117	010100010010	-15.50115171		0.00211722
118	000101100100	-15.50126603		0.00211721
119	100101000001	-15.50132333		0.00211720
120	010100011000	-15.50113183		0.00211718
121	000101001001	-15.50124604		0.00211716
122	010101000010	-15.50136037		0.00211715
123	000101100001	-15.50140572		0.00211714
124	010101001000	-15.50134075		0.00211711
125	010101100000	-15.50146386		0.00211710
126	101010101010	-16.50162132		0.00183428
127	101010100000	-12.50188072		0.00123705
128	001010100010	-12.50185096		0.00123704
129	101010000010	-12.50187800		0.00123704
130	101010001000	-12.50181852		0.00123702
131	001010101000	-12.50176680		0.00123701
132	001010001010	-12.50177048		0.00123700
133	101000100010	-12.50184904		0.00123699
134	100010100010	-12.50177594		0.00123699
135	101000101000	-12.50178943		0.00123698
136	100010101000	-12.50169089		0.00123695
137	000010101010	-12.50167010		0.00123695
138	001000101010	-12.50173534		0.00123694
139	100010001010	-12.50167995		0.00123693
140	101000001010	-12.50171164		0.00123689
141	100000101010	-12.50162008		0.00123685
142	101010010000	-15.50154417		0.00113076
143	001010110000	-15.50089937		0.00113076
144	001010010010	-15.50152437		0.00113075
145	001010011000	-15.50143671		0.00113072
146	000010110010	-15.50083604		0.00113064
147	100010110000	-15.50082858		0.00113064
148	101010000100	-15.50149716		0.00113063
149	001010100100	-15.50149634		0.00113061
150	100010010010	-15.50143897		0.00113061
151	001010000110	-15.50144079		0.00113061
152	101000110000	-15.50097583		0.00113061
153	000010111000	-15.50072281		0.00113060
154	001010001100	-15.50107825		0.00113059
155	100010011000	-15.50135042		0.00113059
156	001000110010	-15.50094999		0.00113058
157	101011000000	-15.50160136		0.00113058
158	000010011010	-15.50133959		0.00113058
159	001011100000	-15.50149905		0.00113057
160	001000111000	-15.50086220		0.00113056
161	001011000010	-15.50159364		0.00113056
162	001011001000	-15.50150624		0.00113054
163	101010000001	-15.50162487		0.00113053
164	101000010010	-15.50151937		0.00113053
165	101000011000	-15.50145626		0.00113052
166	001010000011	-15.50134647		0.00113051
167	001010100001	-15.50167341		0.00113051
168	111010000000	-15.50145372		0.00113051
169	000010100110	-15.50136543		0.00113049
170	100010100100	-15.50139454		0.00113049
171	011010100000	-15.50172895		0.00113049
172	001010001001	-15.50153019		0.00113049
173	001000011010	-15.50141213		0.00113049
174	011010000010	-15.50166062		0.00113049
175	100010000110	-15.50132438		0.00113047
176	011010001000	-15.50162231		0.00113046
177	101000100100	-15.50145897		0.00113046
178	100010001100	-15.50096096		0.00113046
