%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 6, g: 2, theta3: 2.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -26.736113125355484, 
maxIter: 0, func_eval: 1922
Parameters Found: [ 1.00447311 -0.28986703  0.05719862 -0.02081273 -0.07652715  0.10237016
  0.02404522  0.10383355  0.02764403  0.97222465  0.1182041   1.10134085
  0.81650565 -0.05347396 -0.30824605  1.01521016]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:259.89s

Optimal: selection 100110100010, value -33.00173109+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	101010101010	-33.00162132		0.00267771
1	010000010101	-25.00009646		0.00252720
2	010001010100	-25.00060041		0.00252717
3	000001010101	-25.00059806		0.00252717
4	010001000101	-25.00044667		0.00252716
5	010100000101	-25.00024207		0.00252716
6	000101010100	-25.00087421		0.00252714
7	000101000101	-25.00077894		0.00252711
8	000100010101	-25.00052767		0.00252711
9	010001010001	-25.00075064		0.00252709
10	000101010001	-25.00102090		0.00252706
11	010101000100	-25.00089030		0.00252706
12	010101010000	-25.00105912		0.00252705
13	010100010100	-25.00066319		0.00252705
14	010101000001	-25.00093828		0.00252703
15	010100010001	-25.00071168		0.00252701
16	010000000101	-33.00059579		0.00203187
17	000001010100	-33.00097636		0.00203169
18	000000010101	-33.00074657		0.00203165
19	000100000101	-33.00098548		0.00203164
20	010000010100	-33.00081292		0.00203161
21	000101010000	-33.00135061		0.00203159
22	000001000101	-33.00108508		0.00203156
23	010001010000	-33.00118034		0.00203155
24	010001000100	-33.00112727		0.00203155
25	000101000100	-33.00135955		0.00203151
26	010000010001	-33.00094966		0.00203151
27	010100000001	-33.00119533		0.00203149
28	000001010001	-33.00121130		0.00203147
29	010100000100	-33.00116084		0.00203146
30	010001000001	-33.00126349		0.00203145
31	000100010100	-33.00114413		0.00203145
32	000101000001	-33.00149223		0.00203142
33	010101000000	-33.00157029		0.00203136
34	000100010001	-33.00127734		0.00203135
35	010100010000	-33.00137955		0.00203126
36	011000000101	-31.00048792		0.00164120
37	010000100101	-31.00049528		0.00164111
38	010010000101	-31.00057613		0.00164111
39	110000000101	-31.00000095		0.00164110
40	010000000111	-30.99995381		0.00164108
41	011000010001	-31.00089966		0.00164102
42	010000001101	-30.99987933		0.00164100
43	011100000001	-31.00090305		0.00164099
44	011000010100	-31.00080704		0.00164099
45	100100000101	-31.00072185		0.00164098
46	001000010101	-31.00070611		0.00164097
47	100000010101	-31.00052959		0.00164095
48	001100000101	-31.00070274		0.00164095
49	110100000001	-31.00064272		0.00164094
50	010100100001	-31.00110266		0.00164094
51	010000010110	-31.00056077		0.00164093
52	010100001001	-31.00082916		0.00164093
53	010110000001	-31.00112170		0.00164092
54	110000010001	-31.00044370		0.00164092
55	011100000100	-31.00091269		0.00164092
56	010100000011	-31.00057765		0.00164091
57	000100100101	-31.00090573		0.00164091
58	010000010011	-31.00043313		0.00164091
59	010000011001	-31.00063352		0.00164090
60	010100000110	-31.00080754		0.00164090
61	010010010001	-31.00090505		0.00164090
62	110000010100	-31.00034931		0.00164089
63	000110000101	-31.00093711		0.00164089
64	000100000111	-31.00039350		0.00164088
65	110100000100	-31.00065059		0.00164088
66	000000010111	-31.00025575		0.00164087
67	010100100100	-31.00106117		0.00164086
68	000010010101	-31.00072722		0.00164086
69	010010010100	-31.00076156		0.00164085
70	010110000100	-31.00108047		0.00164084
71	100100010001	-31.00110258		0.00164082
72	000100001101	-31.00032079		0.00164081
73	010000011100	-31.00021490		0.00164079
74	100100010100	-31.00101173		0.00164079
75	011001000001	-31.00116987		0.00164079
76	000000011101	-31.00013191		0.00164078
77	001100010001	-31.00105247		0.00164078
78	010100010010	-31.00115171		0.00164078
79	011100010000	-31.00118927		0.00164078
80	010100001100	-31.00051280		0.00164077
81	010000110001	-31.00029404		0.00164076
82	011001000100	-31.00107777		0.00164076
83	000100010110	-31.00094199		0.00164076
84	001100010100	-31.00096339		0.00164075
85	110100010000	-31.00095818		0.00164075
86	001001000101	-31.00100100		0.00164074
87	000100011001	-31.00101296		0.00164073
88	000100010011	-31.00081081		0.00164073
89	100001000101	-31.00087394		0.00164073
90	010100011000	-31.00113183		0.00164072
91	000000110101	-31.00010388		0.00164072
92	010001000110	-31.00089305		0.00164072
93	010000110100	-31.00015030		0.00164072
94	110001000001	-31.00076338		0.00164071
95	000110010001	-31.00120402		0.00164070
96	010001000011	-31.00076489		0.00164069
97	010001001001	-31.00096554		0.00164069
98	010001100001	-31.00115622		0.00164069
99	010110010000	-31.00127423		0.00164068
100	011001010000	-31.00118871		0.00164068
101	110001000100	-31.00066951		0.00164068
102	010001010010	-31.00107157		0.00164066
103	000110010100	-31.00106407		0.00164066
104	000001000111	-31.00061219		0.00164065
105	010001100100	-31.00101299		0.00164065
106	100101000001	-31.00132333		0.00164064
107	001001010100	-31.00099427		0.00164064
108	000001100101	-31.00099073		0.00164064
109	100001010100	-31.00089645		0.00164064
110	010011000001	-31.00104756		0.00164064
111	001001010001	-31.00118509		0.00164063
112	100001010001	-31.00108904		0.00164063
113	000001010110	-31.00089330		0.00164063
114	010101000010	-31.00136037		0.00164062
115	000100011100	-31.00059789		0.00164062
116	100101000100	-31.00123299		0.00164061
117	110001010000	-31.00081146		0.00164061
118	011101000000	-31.00133639		0.00164060
119	001101000001	-31.00122374		0.00164059
120	010011000100	-31.00090459		0.00164059
121	010001011000	-31.00100083		0.00164059
122	000011000101	-31.00089441		0.00164059
123	000101000110	-31.00117533		0.00164058
124	000100110001	-31.00064248		0.00164058
125	010001001100	-31.00054744		0.00164058
126	110101000000	-31.00115477		0.00164058
127	100101010000	-31.00131293		0.00164057
128	010100110000	-31.00072478		0.00164057
129	000001001101	-31.00048860		0.00164056
130	000001010011	-31.00086385		0.00164056
131	001101000100	-31.00113518		0.00164056
132	010101001000	-31.00134075		0.00164056
133	000101001001	-31.00124604		0.00164056
134	000101000011	-31.00104363		0.00164056
135	000001011001	-31.00101514		0.00164055
136	000101010010	-31.00129184		0.00164055
137	000101100001	-31.00140572		0.00164055
138	010101100000	-31.00146386		0.00164054
139	000100110100	-31.00050228		0.00164054
140	001101010000	-31.00118411		0.00164051
141	000101100100	-31.00126603		0.00164050
142	010011010000	-31.00093272		0.00164049
143	000111000001	-31.00124760		0.00164048
144	000101011000	-31.00122286		0.00164048
145	000001011100	-31.00049833		0.00164047
146	010111000000	-31.00129365		0.00164047
147	000011010001	-31.00099568		0.00164046
148	000011010100	-31.00075399		0.00164046
149	000101001100	-31.00083149		0.00164044
150	000111000100	-31.00110817		0.00164043
151	010001110000	-31.00051096		0.00164041
152	000001110001	-31.00056184		0.00164038
153	000001110100	-31.00031990		0.00164037
154	000111010000	-31.00107428		0.00164036
155	000101110000	-31.00070199		0.00164029
156	001010001010	-25.00177048		0.00122321
157	100010001010	-25.00167995		0.00122320
158	001010101000	-25.00176680		0.00122320
159	101010001000	-25.00181852		0.00122319
160	101000001010	-25.00171164		0.00122319
161	101010000010	-25.00187800		0.00122319
162	100010101000	-25.00169089		0.00122317
163	000010101010	-25.00167010		0.00122317
164	001010100010	-25.00185096		0.00122317
165	101010100000	-25.00188072		0.00122317
166	100010100010	-25.00177594		0.00122315
167	100000101010	-25.00162008		0.00122315
168	001000101010	-25.00173534		0.00122314
169	101000101000	-25.00178943		0.00122312
170	101000100010	-25.00184904		0.00122311
171	001010111000	-33.00080830		0.00108632
172	100010111000	-33.00071163		0.00108629
173	000010111010	-33.00071077		0.00108627
174	101010110000	-33.00090931		0.00108625
175	001010110010	-33.00089947		0.00108624
176	100010110010	-33.00080369		0.00108621
177	100000111010	-33.00065459		0.00108616
178	001000111010	-33.00079061		0.00108613
179	101000111000	-33.00082478		0.00108611
180	101000110010	-33.00089139		0.00108607
181	101000001110	-33.00071137		0.00108605
182	100010001110	-33.00074789		0.00108604
183	001010001110	-33.00089018		0.00108601
184	100000101110	-33.00066984		0.00108599
185	000010101110	-33.00083984		0.00108597
186	101010001100	-33.00095488		0.00108596
187	100010101100	-33.00087728		0.00108595
188	001010101100	-33.00100496		0.00108594
189	001000101110	-33.00083686		0.00108593
190	101000001011	-33.00084982		0.00108590
191	101000101100	-33.00090760		0.00108587
192	001011101000	-33.00142618		0.00108586
193	100010001011	-33.00093721		0.00108583
194	101011100000	-33.00151484		0.00108581
195	001010001011	-33.00107773		0.00108581
196	110010001010	-33.00098681		0.00108580
197	111000001010	-33.00096600		0.00108579
198	001011100010	-33.00151709		0.00108578
199	100000101011	-33.00085942		0.00108578
200	100011101000	-33.00137898		0.00108578
201	101010000011	-33.00115956		0.00108577
202	101011001000	-33.00147759		0.00108576
203	001011001010	-33.00146154		0.00108576
204	000011101010	-33.00139019		0.00108574
205	110000101010	-33.00092109		0.00108573
206	001000101011	-33.00102467		0.00108572
207	101011000010	-33.00154382		0.00108572
208	111010000010	-33.00122709		0.00108571
209	000010101011	-33.00107852		0.00108571
210	111010001000	-33.00120996		0.00108570
211	100011100010	-33.00147077		0.00108570
212	110010101000	-33.00112898		0.00108569
213	100011001010	-33.00139973		0.00108569
214	110010100010	-33.00117168		0.00108567
215	101000100011	-33.00111267		0.00108567
216	100010100011	-33.00115865		0.00108567
217	001010100011	-33.00128367		0.00108566
218	111010100000	-33.00136104		0.00108562
219	001010011010	-33.00137408		0.00108561
220	111000100010	-33.00119228		0.00108560
221	101010000110	-33.00129623		0.00108560
222	100010011010	-33.00126280		0.00108560
223	101010011000	-33.00140221		0.00108559
224	111000101000	-33.00117502		0.00108559
225	001110001010	-33.00149289		0.00108558
226	100010100110	-33.00124420		0.00108556
227	101010010010	-33.00146870		0.00108555
228	001010100110	-33.00137099		0.00108555
229	001110101000	-33.00159121		0.00108553
230	101110000010	-33.00159088		0.00108552
231	101010100100	-33.00141740		0.00108552
232	001110100010	-33.00163125		0.00108551
233	101000011010	-33.00130909		0.00108551
234	101110001000	-33.00157552		0.00108551
235	101000100110	-33.00124908		0.00108550
236	101100001010	-33.00141026		0.00108550
237	101010001001	-33.00136446		0.00108550
238	101110100000	-33.00169559		0.00108546
239	101001001010	-33.00157372		0.00108546
240	001001101010	-33.00159773		0.00108546
241	011010001010	-33.00140854		0.00108545
242	101001101000	-33.00161981		0.00108545
243	100010101001	-33.00133799		0.00108543
244	001010101001	-33.00146389		0.00108543
245	100001101010	-33.00151118		0.00108542
246	001100101010	-33.00150137		0.00108542
247	010010101010	-33.00135481		0.00108541
248	101000101001	-33.00131744		0.00108541
249	101001100010	-33.00168617		0.00108540
250	101010100001	-33.00155211		0.00108538
251	011010101000	-33.00153609		0.00108537
252	101100100010	-33.00160554		0.00108535
253	011000101010	-33.00136756		0.00108535
254	100110001010	-33.00157723		0.00108535
255	011010100010	-33.00157790		0.00108535
256	101100101000	-33.00159005		0.00108534
257	000110101010	-33.00163479		0.00108531
258	100110101000	-33.00169017		0.00108527
259	100110100010	-33.00173109		0.00108525
260	100100101010	-33.00156098		0.00108522
261	000011110000	-33.00043155		0.00100433
262	000000111100	-33.00000806		0.00100430
263	000000001111	-33.00002760		0.00100423
264	110000001100	-33.00020590		0.00100406
265	110000000011	-33.00033959		0.00100401
266	110000110000	-33.00037758		0.00100401
267	000001111000	-33.00059777		0.00100397
268	000000110011	-33.00036385		0.00100396
269	001001110000	-33.00074734		0.00100394
270	000010110100	-33.00045660		0.00100393
271	100001110000	-33.00069091		0.00100391
272	100000001101	-33.00032968		0.00100389
273	000000110110	-33.00039978		0.00100387
274	000001110010	-33.00071437		0.00100386
275	100000110100	-33.00042498		0.00100386
276	010000001110	-33.00038912		0.00100383
277	100000000111	-33.00042534		0.00100381
278	001000110100	-33.00056188		0.00100379
279	010010110000	-33.00067292		0.00100376
280	001000001101	-33.00051133		0.00100376
281	010000111000	-33.00054815		0.00100375
282	000000111001	-33.00051838		0.00100375
283	000011001100	-33.00077208		0.00100374
284	001100110000	-33.00086750		0.00100374
285	010000001011	-33.00052934		0.00100373
286	110000000110	-33.00052359		0.00100373
287	000110110000	-33.00089266		0.00100372
288	000000011110	-33.00049054		0.00100371
289	000010110001	-33.00069180		0.00100370
290	010000110010	-33.00061565		0.00100370
291	110000001001	-33.00056815		0.00100370
292	100000110001	-33.00061108		0.00100369
293	001000000111	-33.00060610		0.00100369
294	000000101101	-33.00049705		0.00100369
295	000010001101	-33.00058114		0.00100368
296	100000011100	-33.00053402		0.00100368
297	000010011100	-33.00062256		0.00100367
298	001000110001	-33.00074621		0.00100362
299	001100001100	-33.00083535		0.00100362
300	000100111000	-33.00084836		0.00100361
301	011000001100	-33.00066875		0.00100361
302	011000110000	-33.00079392		0.00100361
303	010010001100	-33.00067198		0.00100361
304	010000101100	-33.00059997		0.00100360
305	001000011100	-33.00068643		0.00100359
306	000000100111	-33.00061739		0.00100358
307	001011010000	-33.00114144		0.00100358
308	000100001110	-33.00078058		0.00100357
309	000010000111	-33.00070135		0.00100357
310	001100000011	-33.00096107		0.00100357
311	000100110010	-33.00091410		0.00100356
312	000001001110	-33.00082931		0.00100356
313	000011011000	-33.00102277		0.00100356
314	011000000011	-33.00079978		0.00100355
315	100001001100	-33.00086071		0.00100354
316	100100110000	-33.00095723		0.00100353
317	001111000000	-33.00135340		0.00100353
318	000001101100	-33.00087724		0.00100352
319	110011000000	-33.00108608		0.00100352
320	100011010000	-33.00110974		0.00100351
321	111000000001	-33.00084757		0.00100351
322	001001001100	-33.00096365		0.00100351
323	110010000100	-33.00080668		0.00100350
324	111000000100	-33.00081131		0.00100349
325	110000100100	-33.00074084		0.00100348
326	000000011011	-33.00072948		0.00100348
327	100100001100	-33.00087857		0.00100348
328	000100001011	-33.00091726		0.00100348
329	110010000001	-33.00089381		0.00100346
330	010010000011	-33.00087932		0.00100345
331	110000011000	-33.00079806		0.00100345
332	000011010010	-33.00113924		0.00100345
333	010000100011	-33.00080769		0.00100344
334	000110001100	-33.00098474		0.00100344
335	110000100001	-33.00082822		0.00100344
336	110000010010	-33.00084088		0.00100344
337	100000010011	-33.00081578		0.00100343
338	100100000011	-33.00100694		0.00100342
339	000011000011	-33.00112672		0.00100340
340	110010010000	-33.00097357		0.00100339
341	000011100100	-33.00113628		0.00100338
342	000100101100	-33.00096219		0.00100338
343	001011000100	-33.00123320		0.00100335
344	110001001000	-33.00110007		0.00100335
345	001000010011	-33.00096554		0.00100335
346	110001000010	-33.00114264		0.00100334
347	101000000101	-33.00091715		0.00100334
348	000001001011	-33.00106773		0.00100333
349	000010010011	-33.00097797		0.00100333
350	000111100000	-33.00144872		0.00100333
351	100011000100	-33.00117050		0.00100332
352	000011000110	-33.00116342		0.00100331
353	111100000000	-33.00122009		0.00100330
354	000110000011	-33.00118676		0.00100330
355	100001000011	-33.00114169		0.00100330
356	110100000010	-33.00114107		0.00100329
357	111000010000	-33.00106103		0.00100329
358	000111001000	-33.00142697		0.00100328
359	001100000110	-33.00115038		0.00100328
360	100000010110	-33.00090107		0.00100328
361	110001100000	-33.00120974		0.00100327
362	011000000110	-33.00098556		0.00100327
363	001001000011	-33.00124198		0.00100327
364	100010000101	-33.00097911		0.00100327
365	100000100101	-33.00090119		0.00100326
366	001100001001	-33.00119229		0.00100326
367	111001000000	-33.00130123		0.00100326
368	110100001000	-33.00114937		0.00100324
369	011000001001	-33.00102923		0.00100324
370	010011100000	-33.00132792		0.00100324
371	000111000010	-33.00149232		0.00100324
372	010011001000	-33.00127517		0.00100324
373	100010010100	-33.00103331		0.00100323
374	000010010110	-33.00101416		0.00100323
375	001001011000	-33.00129715		0.00100323
376	100111000000	-33.00151733		0.00100323
377	010010000110	-33.00101422		0.00100323
378	000100100011	-33.00116461		0.00100323
379	100001011000	-33.00122522		0.00100323
380	010000100110	-33.00094234		0.00100322
381	001110010000	-33.00138929		0.00100322
382	011011000000	-33.00142823		0.00100321
383	001110000100	-33.00131541		0.00100321
384	001101001000	-33.00148810		0.00100321
385	001010010100	-33.00114548		0.00100320
386	000001011010	-33.00123039		0.00100320
387	001010000101	-33.00112052		0.00100320
388	001101000010	-33.00152801		0.00100320
389	101100000001	-33.00129006		0.00100320
390	001000010110	-33.00105259		0.00100319
391	001101100000	-33.00155126		0.00100319
392	010011000010	-33.00134228		0.00100319
393	000011001001	-33.00128163		0.00100319
394	001011000001	-33.00141676		0.00100318
395	000001100011	-33.00123226		0.00100318
396	100000011001	-33.00099499		0.00100318
397	010010001001	-33.00108333		0.00100318
398	001110000001	-33.00139723		0.00100318
399	010000011010	-33.00101785		0.00100318
400	101001010000	-33.00139199		0.00100317
401	010000101001	-33.00101158		0.00100317
402	101100000100	-33.00125734		0.00100317
403	001001010010	-33.00138819		0.00100316
404	001000100101	-33.00106733		0.00100316
405	110110000000	-33.00134590		0.00100316
406	100001010010	-33.00131714		0.00100316
407	100011000001	-33.00135582		0.00100315
408	000011100001	-33.00137097		0.00100315
409	101101000000	-33.00158631		0.00100314
410	101000010100	-33.00110504		0.00100314
411	100001000110	-33.00122750		0.00100314
412	000010100101	-33.00109574		0.00100314
413	100100000110	-33.00119449		0.00100314
414	010010011000	-33.00115032		0.00100313
415	001100011000	-33.00133449		0.00100312
416	001100010010	-33.00137466		0.00100312
417	001001000110	-33.00132955		0.00100311
418	100100001001	-33.00123728		0.00100311
419	000010011001	-33.00113263		0.00100311
420	010010100100	-33.00115000		0.00100311
421	011100000010	-33.00137640		0.00100310
422	011010000100	-33.00122929		0.00100310
423	001100100100	-33.00132377		0.00100310
424	100001100100	-33.00128182		0.00100309
425	001000011001	-33.00114563		0.00100309
426	000001100110	-33.00126870		0.00100309
427	001001100100	-33.00136926		0.00100309
428	101001000100	-33.00136992		0.00100308
429	010010010010	-33.00121769		0.00100308
430	000110000110	-33.00132521		0.00100307
431	110100100000	-33.00134186		0.00100307
432	100010010001	-33.00121915		0.00100307
433	011010000001	-33.00131465		0.00100306
434	001100100001	-33.00140585		0.00100306
435	010001001010	-33.00133194		0.00100306
436	011100001000	-33.00138559		0.00100305
437	011000100100	-33.00118819		0.00100305
438	000110011000	-33.00140106		0.00100305
439	101100010000	-33.00144504		0.00100305
440	100001001001	-33.00132116		0.00100305
441	001010010001	-33.00132956		0.00100304
442	101000010001	-33.00124002		0.00100304
443	011010010000	-33.00136518		0.00100303
444	011000011000	-33.00122991		0.00100303
445	010100001010	-33.00131465		0.00100303
446	011110000000	-33.00154188		0.00100303
447	000110001001	-33.00139255		0.00100302
448	011000010010	-33.00127185		0.00100302
