%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 7, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -8.359877773700386, 
maxIter: 0, func_eval: 4165
Parameters Found: [ 1.33393629 -0.31828431 -0.0936563  -0.05452807  0.002193   -0.0338006
  0.04794217  0.15572707  0.40516127  1.37940257 -0.20744096  1.10123146]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:29738.24s

Optimal: selection 100101100010, value -11.50110091+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	011001010000	-11.50082242		0.00147466
1	001001010001	-11.50080986		0.00147465
2	010110010000	-11.50090554		0.00147465
3	001001010100	-11.50064641		0.00147465
4	000110010001	-11.50084406		0.00147464
5	100101010000	-11.50091551		0.00147464
6	000101010010	-11.50089507		0.00147464
7	000110010100	-11.50071798		0.00147464
8	010101100000	-11.50103808		0.00147463
9	000101100001	-11.50098547		0.00147463
10	010010010001	-11.50062075		0.00147462
11	011000010100	-11.50054578		0.00147462
12	100001010001	-11.50073747		0.00147462
13	000101011000	-11.50083276		0.00147462
14	011001000100	-11.50073112		0.00147462
15	000101100100	-11.50085958		0.00147462
16	000010010101	-11.50045695		0.00147462
17	010001010010	-11.50072959		0.00147462
18	011100010000	-11.50086341		0.00147462
19	011000010001	-11.50063708		0.00147462
20	001101010000	-11.50082270		0.00147461
21	011001000001	-11.50082205		0.00147461
22	010010010100	-11.50049207		0.00147461
23	100001010100	-11.50057272		0.00147461
24	010110000100	-11.50075339		0.00147461
25	000001010110	-11.50056545		0.00147461
26	100100010100	-11.50069799		0.00147461
27	000011010001	-11.50065042		0.00147461
28	001001000101	-11.50066482		0.00147461
29	100101000100	-11.50084699		0.00147461
30	010001100001	-11.50079851		0.00147461
31	010110000001	-11.50080694		0.00147460
32	001000010101	-11.50046173		0.00147460
