%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 7, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -8.348863002537007, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.04703745 -0.31665165 -0.08750429  0.00813181 -0.07098359  0.0483647
 -0.13038276  0.06984221  0.04591252  0.17599922  1.15222394  1.19742753
 -0.16691033 -0.1097489   0.02429095  0.17550039]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:30447.14s

Optimal: selection 100101100010, value -11.50110091+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	100010111010	-11.50037829		0.00139919
1	101010001110	-11.50043139		0.00139918
2	101010111000	-11.50048780		0.00139918
3	001010111010	-11.50046951		0.00139918
4	101000101110	-11.50039685		0.00139918
5	100010101110	-11.50039803		0.00139918
6	101010001011	-11.50056132		0.00139918
7	101000101011	-11.50052697		0.00139917
8	101000111010	-11.50043796		0.00139917
9	101010110010	-11.50055085		0.00139917
10	111010001010	-11.50063307		0.00139917
11	001010101110	-11.50051202		0.00139917
12	110010101010	-11.50059722		0.00139917
13	111000101010	-11.50060759		0.00139916
14	100010101011	-11.50056553		0.00139916
15	101010101100	-11.50055718		0.00139916
16	101011101000	-11.50093248		0.00139915
17	001010101011	-11.50067822		0.00139915
18	001011101010	-11.50092307		0.00139915
19	101110001010	-11.50094203		0.00139915
20	100011101010	-11.50086820		0.00139915
21	101011001010	-11.50091699		0.00139915
22	101010100011	-11.50075017		0.00139914
23	111010100010	-11.50079505		0.00139914
24	101011100010	-11.50099534		0.00139914
25	111010101000	-11.50076826		0.00139914
26	001110101010	-11.50099740		0.00139914
27	101100101010	-11.50095289		0.00139913
28	101110100010	-11.50108122		0.00139913
29	101110101000	-11.50105574		0.00139913
30	100110101010	-11.50104991		0.00139911
31	101001101010	-11.50102168		0.00139911
32	101010101001	-11.50088651		0.00139910
33	011010101010	-11.50091652		0.00139910
34	101010100110	-11.50082218		0.00139910
35	101010011010	-11.50086200		0.00139907
36	000101110000	-11.50045497		0.00135118
37	000001110100	-11.50013744		0.00135116
38	000111010000	-11.50072171		0.00135116
39	010001110000	-11.50031097		0.00135114
