%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 8, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -5.455638706296551, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.35317624 -0.26281232 -0.0763043  -0.02902594 -0.03578394 -0.01722841
  0.05509881  0.19950816  0.57461327  1.40752397 -0.34862046  1.12127482]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:27271.93s

Optimal: selection 101101100010, value -8.50071395+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	000101010100	-8.50041727		0.00149379
1	010001010100	-8.50025766		0.00149379
2	000001010101	-8.50024119		0.00149379
3	000101010001	-8.50053540		0.00149378
4	010101010000	-8.50057205		0.00149378
5	010001010001	-8.50037778		0.00149378
6	000100010101	-8.50026372		0.00149376
7	000101000101	-8.50038430		0.00149376
8	010101000100	-8.50046209		0.00149376
9	010100010100	-8.50035511		0.00149376
10	010000010101	-8.50001557		0.00149376
11	010001000101	-8.50019180		0.00149375
12	010101000001	-8.50052470		0.00149375
13	010100010001	-8.50041800		0.00149375
14	010100000101	-8.50013885		0.00149373
15	101010101110	-8.50024879		0.00138117
16	101010101011	-8.50037002		0.00138117
17	111010101010	-8.50042132		0.00138117
18	101110101010	-8.50067234		0.00138116
19	101011101010	-8.50061389		0.00138116
20	101010111010	-8.50027373		0.00138116
21	011010010100	-8.50035433		0.00127578
22	001010010101	-8.50030040		0.00127577
23	101001010100	-8.50040863		0.00127577
24	001011010100	-8.50030692		0.00127577
25	011010010001	-8.50044584		0.00127577
26	011011010000	-8.50045286		0.00127577
27	001011010001	-8.50045367		0.00127577
28	001001010110	-8.50038955		0.00127577
29	101001010001	-8.50052776		0.00127576
30	011001010010	-8.50053524		0.00127576
31	001110010100	-8.50043172		0.00127576
32	101101010000	-8.50059554		0.00127576
33	100110010100	-8.50046419		0.00127576
34	011010000101	-8.50021327		0.00127576
35	011110010000	-8.50059535		0.00127576
36	001110010001	-8.50052124		0.00127576
37	000011010110	-8.50025682		0.00127576
38	100011010100	-8.50025717		0.00127576
39	011001011000	-8.50049005		0.00127576
40	011001100100	-8.50047311		0.00127575
41	100111010000	-8.50051745		0.00127575
42	011011000100	-8.50038949		0.00127575
43	001011000101	-8.50034915		0.00127575
44	000111010010	-8.50050701		0.00127575
45	100010010101	-8.50020639		0.00127575
46	001001100101	-8.50042598		0.00127575
47	100110010001	-8.50055471		0.00127575
48	000110010110	-8.50042639		0.00127575
49	001101010010	-8.50056637		0.00127575
50	001111010000	-8.50043972		0.00127575
51	100011010001	-8.50040492		0.00127575
52	001001011001	-8.50046349		0.00127575
53	010011010010	-8.50039367		0.00127575
54	011001100001	-8.50056448		0.00127575
55	011011000001	-8.50048071		0.00127575
56	010010010110	-8.50022251		0.00127575
57	000110100101	-8.50042521		0.00127575
58	100101010010	-8.50062197		0.00127575
59	101000010101	-8.50021082		0.00127575
60	010110010010	-8.50058092		0.00127575
61	010010100101	-8.50020489		0.00127575
62	001101011000	-8.50052217		0.00127575
63	101100010100	-8.50042386		0.00127575
64	111001010000	-8.50040623		0.00127575
65	010110100100	-8.50050980		0.00127575
66	010110100001	-8.50057255		0.00127574
67	011110000100	-8.50043880		0.00127574
68	001101100100	-8.50052268		0.00127574
69	000111011000	-8.50044851		0.00127574
70	001110000101	-8.50032355		0.00127574
71	011000010110	-8.50024566		0.00127574
72	100001010110	-8.50031767		0.00127574
73	011000100101	-8.50019045		0.00127574
74	000011100101	-8.50033085		0.00127574
75	100101011000	-8.50057727		0.00127574
76	000110011001	-8.50048601		0.00127574
77	000011011001	-8.50034506		0.00127574
78	010110011000	-8.50055003		0.00127574
79	101001000101	-8.50035922		0.00127574
80	011101100000	-8.50067936		0.00127574
81	010011011000	-8.50033417		0.00127574
82	100111000100	-8.50047152		0.00127574
83	001111000100	-8.50041123		0.00127574
84	100101100100	-8.50056906		0.00127574
85	001001010011	-8.50038379		0.00127574
86	000111100100	-8.50047231		0.00127574
87	011110000001	-8.50047279		0.00127574
88	001101100001	-8.50061205		0.00127574
89	000111100001	-8.50059029		0.00127574
90	010011100100	-8.50034052		0.00127574
91	101101000100	-8.50050302		0.00127574
92	010010011001	-8.50028313		0.00127574
93	010011100001	-8.50046050		0.00127574
94	100110000101	-8.50033958		0.00127574
95	101100010001	-8.50048576		0.00127574
96	000101011010	-8.50055315		0.00127574
97	011001000110	-8.50038727		0.00127574
98	100011000101	-8.50028296		0.00127574
99	000111000110	-8.50044051		0.00127574
100	011111000000	-8.50056097		0.00127574
101	100111000001	-8.50056175		0.00127574
102	001100010110	-8.50036733		0.00127574
103	010111100000	-8.50062015		0.00127574
104	100101100001	-8.50065943		0.00127574
105	001111000001	-8.50050045		0.00127574
106	000101100110	-8.50053465		0.00127574
107	011100100100	-8.50045060		0.00127573
108	000011010011	-8.50027967		0.00127573
109	001001011100	-8.50016198		0.00127573
110	010011000110	-8.50029228		0.00127573
111	000010010111	-8.50005378		0.00127573
112	011000011001	-8.50029198		0.00127573
113	001100100101	-8.50032855		0.00127573
114	110010010100	-8.50010214		0.00127573
115	111000010100	-8.50014402		0.00127573
116	110110010000	-8.50047063		0.00127573
117	100001100101	-8.50034587		0.00127573
118	011100010010	-8.50053070		0.00127573
119	010111000010	-8.50058116		0.00127573
120	000110010011	-8.50039201		0.00127573
121	010101100010	-8.50068224		0.00127573
122	101101000001	-8.50056463		0.00127573
123	011100100001	-8.50048473		0.00127573
124	110011010000	-8.50024593		0.00127573
125	010110000110	-8.50038636		0.00127573
126	011100011000	-8.50051412		0.00127573
127	100001011001	-8.50039210		0.00127573
128	001101000110	-8.50045328		0.00127573
129	001001110100	-8.50008539		0.00127573
130	010001011010	-8.50039454		0.00127573
131	010001100110	-8.50035860		0.00127573
132	110010010001	-8.50019464		0.00127573
133	010010010011	-8.50019012		0.00127573
