%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 8, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -5.501855371765724, 
maxIter: 0, func_eval: 5000
Parameters Found: [ 1.40867362e-01 -2.89711098e-01 -1.14364397e-01 -2.40071125e-02
 -1.37288157e-01  2.10419124e-01 -1.39637025e-01  6.91344364e-04
  4.25962700e-02  1.74447793e-01  8.45051291e-01  1.19669866e+00
 -5.27609532e-02 -3.85078352e-02 -3.74326602e-02 -7.33643642e-02]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:33224.52s

Optimal: selection 101101100010, value -8.50071395+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	010101010000	-8.50057205		0.00169604
1	000101010001	-8.50053540		0.00169603
2	000101010100	-8.50041727		0.00169599
3	010101000001	-8.50052470		0.00169599
4	010101000100	-8.50046209		0.00169598
5	010001010001	-8.50037778		0.00169597
6	000101000101	-8.50038430		0.00169595
7	010100010001	-8.50041800		0.00169595
8	010100010100	-8.50035511		0.00169595
9	000001010101	-8.50024119		0.00169593
10	010001010100	-8.50025766		0.00169593
11	000100010101	-8.50026372		0.00169591
12	010001000101	-8.50019180		0.00169587
13	010100000101	-8.50013885		0.00169581
14	010000010101	-8.50001557		0.00169580
15	101110101010	-8.50067234		0.00159219
16	101011101010	-8.50061389		0.00159217
17	111010101010	-8.50042132		0.00159212
18	101010101011	-8.50037002		0.00159210
19	101010111010	-8.50027373		0.00159208
20	101010101110	-8.50024879		0.00159207
21	010101100010	-8.50068224		0.00143488
22	010101101000	-8.50065143		0.00143488
23	100101100001	-8.50065943		0.00143487
24	100101010010	-8.50062197		0.00143487
25	100101011000	-8.50057727		0.00143486
26	011101100000	-8.50067936		0.00143486
27	000101101001	-8.50059421		0.00143486
28	000101011010	-8.50055315		0.00143486
29	100101100100	-8.50056906		0.00143486
30	010110010010	-8.50058092		0.00143485
31	010110011000	-8.50055003		0.00143485
32	010111100000	-8.50062015		0.00143485
33	000101100110	-8.50053465		0.00143485
34	000111100001	-8.50059029		0.00143485
35	011001100001	-8.50056448		0.00143485
36	100110010001	-8.50055471		0.00143485
37	011001010010	-8.50053524		0.00143485
38	101001010001	-8.50052776		0.00143485
39	011110010000	-8.50059535		0.00143484
40	101101010000	-8.50059554		0.00143484
41	001101100001	-8.50061205		0.00143484
42	010110100001	-8.50057255		0.00143484
43	011001011000	-8.50049005		0.00143484
44	010101001010	-8.50057021		0.00143484
45	001101010010	-8.50056637		0.00143484
46	010110100100	-8.50050980		0.00143484
47	001001011001	-8.50046349		0.00143484
48	000110011001	-8.50048601		0.00143483
49	100110010100	-8.50046419		0.00143483
50	011001100100	-8.50047311		0.00143483
51	001101011000	-8.50052217		0.00143483
52	011101001000	-8.50058634		0.00143483
53	010111000010	-8.50058116		0.00143483
54	100101001001	-8.50053711		0.00143483
55	001101100100	-8.50052268		0.00143483
56	110101100000	-8.50056856		0.00143483
57	010111001000	-8.50055042		0.00143483
58	011101000010	-8.50060277		0.00143483
59	100111000001	-8.50056175		0.00143482
60	000111010010	-8.50050701		0.00143482
61	100111010000	-8.50051745		0.00143482
