%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 9, g: 2, theta3: 1.000000, layers: 6
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -4.306322672639364, 
maxIter: 0, func_eval: 1871
Parameters Found: [ 1.33319948 -0.11994435 -0.145495   -0.06471677 -0.06806051  0.0680449
  0.0404489   0.02931307  0.2082993   0.92560979  0.05684612  0.10161714]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:249.08s

Optimal: selection 011101100010, value -7.50045649+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	011000010101	-7.49999843		0.00073363
1	010010010101	-7.49999432		0.00073363
2	010110000101	-7.50009517		0.00073363
3	011001010100	-7.50019930		0.00073363
4	011001010001	-7.50028867		0.00073363
5	010110010001	-7.50031057		0.00073363
6	000110010101	-7.50017984		0.00073363
7	001001010101	-7.50016493		0.00073363
8	010110010100	-7.50024381		0.00073363
9	010100100101	-7.50009093		0.00073363
10	011001000101	-7.50011008		0.00073363
11	011100010100	-7.50021255		0.00073363
12	011100010001	-7.50025671		0.00073362
13	001100010101	-7.50011899		0.00073362
14	011100000101	-7.50000449		0.00073362
15	100100010101	-7.50011494		0.00073362
16	010001100101	-7.50010173		0.00073362
17	100001010101	-7.50009592		0.00073362
18	010100010110	-7.50015315		0.00073362
19	010011000101	-7.50004922		0.00073362
20	010001010110	-7.50010454		0.00073362
21	100101010100	-7.50028083		0.00073362
22	011101010000	-7.50038802		0.00073362
23	100101010001	-7.50036942		0.00073362
24	010101100001	-7.50039052		0.00073362
25	010011010001	-7.50019101		0.00073362
26	001101010100	-7.50024990		0.00073362
27	000011010101	-7.50007425		0.00073362
28	000101100101	-7.50026527		0.00073362
29	001101010001	-7.50033770		0.00073362
30	011101000100	-7.50026949		0.00073362
31	010101100100	-7.50032387		0.00073362
32	010101010010	-7.50038601		0.00073362
33	010011010100	-7.50007902		0.00073362
34	000101010110	-7.50025508		0.00073362
35	010100011001	-7.50018698		0.00073362
36	011101000001	-7.50031342		0.00073362
37	100101000101	-7.50020460		0.00073362
38	001101000101	-7.50018666		0.00073362
39	110000010101	-7.49976946		0.00073362
40	010001011001	-7.50016097		0.00073362
41	010111000001	-7.50031053		0.00073362
42	110100010100	-7.50008352		0.00073362
43	000111000101	-7.50019077		0.00073362
44	110100010001	-7.50012846		0.00073362
45	010000010111	-7.49974838		0.00073362
46	010111000100	-7.50024400		0.00073362
47	010101000110	-7.50023745		0.00073362
48	010101011000	-7.50035307		0.00073362
49	000111010001	-7.50030499		0.00073362
