%%%%%%%%%%%%%%%%%%%% Configuration %%%%%%%%%%%%%%%%%%%%
budget: 9, g: 2, theta3: 1.000000, layers: 8
%%%%%%%%%%%%%%%%%%%% Optimization Output %%%%%%%%%%%%%%%%%%%%
minimal loss: -4.5420493684334176, 
maxIter: 0, func_eval: 2273
Parameters Found: [-0.37797339  1.21297949  1.003541   -0.12658589  0.05040765  0.98741282
  0.07559594  0.04051126  0.04927835 -0.02367287  0.06930857  0.07242162
 -0.11905997 -0.10156786 -0.23884002  1.20569113]

----------------- Loss (0 steps from 0 iterations) -----------------
iter		loss
------------------------------------------------------------------------

Training done! Total elapsed time:308.45s

Optimal: selection 011101100010, value -7.50045649+0.00000000j

----------------- Full result ---------------------
rank	selection	value		probability
---------------------------------------------------
0	101010010101	-7.50014331		0.00076418
1	011010100101	-7.50013421		0.00076418
2	011010010110	-7.50016673		0.00076418
3	100010010111	-7.49992555		0.00076417
4	100010011101	-7.49985732		0.00076417
5	010010100111	-7.49989784		0.00076417
6	010010101101	-7.49984058		0.00076417
7	011010011001	-7.50021186		0.00076417
8	101000011101	-7.49985793		0.00076417
9	010010011110	-7.49987675		0.00076417
10	110010100101	-7.49991624		0.00076417
11	101000010111	-7.49991486		0.00076417
12	101001100101	-7.50023973		0.00076417
13	001010010111	-7.50001205		0.00076417
14	011000101101	-7.49982628		0.00076417
15	011000011110	-7.49989216		0.00076417
16	001010011101	-7.49994421		0.00076417
17	110010010110	-7.49995525		0.00076417
18	101001010110	-7.50023604		0.00076417
19	100110100101	-7.50023973		0.00076417
20	111000100101	-7.49990543		0.00076417
21	111000010110	-7.49997415		0.00076417
22	011000100111	-7.49987224		0.00076417
23	011001100110	-7.50026046		0.00076417
24	100110010110	-7.50026575		0.00076417
25	010010011011	-7.49999050		0.00076417
26	101000110101	-7.49988697		0.00076417
27	011010011100	-7.50000021		0.00076417
28	100010110101	-7.49986795		0.00076417
29	010110100110	-7.50027526		0.00076417
30	100001100111	-7.50003565		0.00076417
31	111010010100	-7.50008230		0.00076417
32	100001101101	-7.49996747		0.00076417
33	000010011111	-7.49973004		0.00076417
34	110010011001	-7.50000077		0.00076417
35	011000110110	-7.49991307		0.00076417
36	101001011001	-7.50029208		0.00076417
37	100001011110	-7.49996743		0.00076417
38	100011100101	-7.50016396		0.00076417
39	010010110110	-7.49987926		0.00076417
40	011000011011	-7.49998331		0.00076417
41	111000011001	-7.50000837		0.00076417
42	011001101001	-7.50030553		0.00076417
43	010001101110	-7.49998422		0.00076417
44	100110011001	-7.50031049		0.00076417
45	100000011111	-7.49961147		0.00076417
46	011001011010	-7.50030468		0.00076416
47	100011010110	-7.50013056		0.00076416
48	010110101001	-7.50030903		0.00076416
49	010011100110	-7.50016989		0.00076416
50	001010110101	-7.49994796		0.00076416
51	001001100111	-7.50011115		0.00076416
52	100100101101	-7.49994968		0.00076416
53	110001100110	-7.50005997		0.00076416
54	100100011110	-7.50000906		0.00076416
55	100001011011	-7.50010301		0.00076416
56	001000011111	-7.49971586		0.00076416
57	001001101101	-7.50004337		0.00076416
58	010110011010	-7.50033789		0.00076416
59	101100100101	-7.50016397		0.00076416
60	011000111001	-7.49995826		0.00076416
61	100000110111	-7.49965553		0.00076416
62	111000011100	-7.49981854		0.00076416
63	101100010110	-7.50021969		0.00076416
64	010000101111	-7.49956121		0.00076416
65	100000111101	-7.49958724		0.00076416
66	011010001101	-7.49984426		0.00076416
67	010010111001	-7.49993575		0.00076416
68	110000011110	-7.49966279		0.00076416
69	110010011100	-7.49978833		0.00076416
70	110000101101	-7.49959042		0.00076416
71	001001011110	-7.50003684		0.00076416
72	100100100111	-7.49999525		0.00076416
73	011010010011	-7.50013560		0.00076416
74	000010110111	-7.49974881		0.00076416
75	000110100111	-7.50009636		0.00076416
76	000110101101	-7.50003988		0.00076416
